"drugbank_id"	"pert_id"	"inchi_key"	"cmap_name"	"compound_aliases"	"target"	"moa"	"common_name"
"DB00006"	"BRD-K73504359"	"OIRCOABEOLEUMC-GEJPAHFPSA-N"	"BIVALIRUDIN"	""	"F2"	"Thrombin inhibitor"	"BIVALIRUDIN"
"DB00014"	"BRD-A62434282"	"BLCLNMBMMGCOAS-KJLMDEBVSA-N"	"GOSERELIN"	""	"GNRHR"	"Luteinizing hormone releasing hormone agonist"	"GOSERELIN"
"DB00014"	"BRD-K99504665"	"BLCLNMBMMGCOAS-URPVMXJPSA-N"	"GOSERELIN-ACETATE"	""	"GNRHR"	"Gonadotropin releasing factor hormone receptor agonist"	"GOSERELIN"
"DB00063"	"BRD-A90547603"	"CZKPOZZJODAYPZ-UHFFFAOYSA-N"	"EPTIFIBATIDE"	""	"ITGB3"	"Platelet aggregation inhibitor"	"EPTIFIBATIDE"
"DB00063"	"BRD-A90547603"	"CZKPOZZJODAYPZ-UHFFFAOYSA-N"	"EPTIFIBATIDE"	""	"ITGA2B"	"Platelet aggregation inhibitor"	"EPTIFIBATIDE"
"DB00104"	"BRD-K79042054"	"not"	"OCTREOTIDE"	""	"SSTR5"	"Somatostatin receptor agonist"	"OCTREOTIDE"
"DB00104"	"BRD-K79042054"	"not"	"OCTREOTIDE"	""	"SSTR2"	"Somatostatin receptor agonist"	"OCTREOTIDE"
"DB00115"	"BRD-A97502381"	"FMCRMSOQAVOHRD-SBGISONWSA-M"	"CYANOCOBALAMIN"	""	"MMUT"	"Methylmalonyl CoA mutase stimulant"	"CYANOCOBALAMIN"
"DB00115"	"BRD-A31836915"	"RMRCNWBMXRMIRW-WDJKBINPSA-M"	"CYANOCOBALAMIN"	""	"MMUT"	"Vitamin B"	"CYANOCOBALAMIN"
"DB00115"	"BRD-A97502381"	"FMCRMSOQAVOHRD-SBGISONWSA-M"	"CYANOCOBALAMIN"	""	"MMUT"	"Vitamin B"	"CYANOCOBALAMIN"
"DB00115"	"BRD-A31836915"	"RMRCNWBMXRMIRW-WDJKBINPSA-M"	"CYANOCOBALAMIN"	""	"MMUT"	"Methylmalonyl CoA mutase stimulant"	"CYANOCOBALAMIN"
"DB00121"	"BRD-K89210380"	"YBJHBAHKTGYVGT-ZKWXMUAHSA-N"	"BIOTIN"	""	""	""	"BIOTIN"
"DB00121"	"BRD-K63899271"	"YBJHBAHKTGYVGT-FJXKBIBVSA-N"	"BIOTIN"	""	""	""	"BIOTIN"
"DB00122"	"BRD-M07056525"	"OEYIOHPDSNJKLS-UHFFFAOYSA-N"	"CHOLINE"	"CHOLINE-CHLORIDE"	""	""	"CHOLINE"
"DB00130"	"BRD-K83896451"	"ZDXPYRJPNDTMRX-VKHMYHEASA-N"	"GLUTAMINE"	""	""	""	"L-GLUTAMINE"
"DB00131"	"BRD-K85767870"	"UDMBCSSLTHHNCD-KQYNXXCUSA-N"	"BRD-K85767870"	"ADENOSINE-PHOSPHATE"	""	""	"ADENOSINE PHOSPHATE"
"DB00132"	"BRD-K33396764"	"DTOSIQBPPRVQHS-PDBXOOCHSA-N"	"BRD-K33396764"	"ALPHA-LINOLENIC-ACID"	""	""	"ALPHA-LINOLENIC ACID"
"DB00136"	"BRD-A66229260"	"GMRQFYUYWCNGIN-KWJBEKLWSA-N"	"CALCITRIOL"	""	"VDR"	"Vitamin D receptor agonist"	"CALCITRIOL"
"DB00136"	"BRD-K27316855"	"GMRQFYUYWCNGIN-NKMMMXOESA-N"	"CALCITRIOL"	""	"VDR"	"Vitamin D receptor agonist"	"CALCITRIOL"
"DB00136"	"BRD-A84327315"	"GMRQFYUYWCNGIN-CSLIWIHMSA-N"	"CALCITRIOL"	""	"VDR"	"Vitamin D receptor agonist"	"CALCITRIOL"
"DB00136"	"BRD-K28731095"	"GMRQFYUYWCNGIN-WEARQXOYSA-N"	"CALCITRIOL"	""	"VDR"	"Vitamin D receptor agonist"	"CALCITRIOL"
"DB00140"	"BRD-K92760278"	"AUNGANRZJHBGPY-SCRDCRAPSA-N"	"RIBOFLAVIN"	""	""	""	"RIBOFLAVIN"
"DB00140"	"BRD-K70246307"	"AUNGANRZJHBGPY-MBNYWOFBSA-N"	"RIBOFLAVIN"	""	""	""	"RIBOFLAVIN"
"DB00142"	"BRD-K62309135"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-GLUTAMIC-ACID"	""	"GRM7"	"Glutamate receptor agonist"	"GLUTAMIC ACID"
"DB00142"	"BRD-K62309135"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-GLUTAMIC-ACID"	""	"GRM8"	"Glutamate receptor agonist"	"GLUTAMIC ACID"
"DB00146"	"BRD-K77175907"	"JWUBBDSIWDLEOM-DTOXIADCSA-N"	"CALCIFEDIOL"	""	"VDR"	"Vitamin D receptor agonist"	"CALCIFEDIOL"
"DB00146"	"BRD-A78971512"	"JWUBBDSIWDLEOM-DWKIUPLPSA-N"	"CALCIFEDIOL"	""	"VDR"	"Vitamin D receptor agonist"	"CALCIFEDIOL"
"DB00150"	"BRD-K83776863"	"QIVBCDIJIAJPQS-VIFPVBQESA-N"	"TRYPTOPHAN"	""	""	""	"TRYPTOPHAN"
"DB00150"	"BRD-A07106394"	"QIVBCDIJIAJPQS-UHFFFAOYSA-N"	"TRYPTOPHAN"	""	""	""	"TRYPTOPHAN"
"DB00152"	"BRD-K95785345"	"JZRWCGZRTZMZEH-UHFFFAOYSA-N"	"THIAMINE"	""	"SLC19A2"	"Vitamin B"	"THIAMINE"
"DB00154"	"BRD-K20152659"	"HOBAELRKJCKHQD-QNEBEIHSSA-N"	"BRD-K20152659"	"DIHOMO-GAMMA-LINOLENIC-ACID"	""	""	"DIHOMO-GAMMA-LINOLENIC ACID"
"DB00158"	"BRD-K18673820"	"OVBPIULPVIDEAO-LBPRGKRZSA-N"	"FOLIC-ACID"	""	"FOLR2"	"Folate receptor ligand"	"FOLIC ACID"
