gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000267467	APOC4	15.9238263462542	0.636983907226785	0	0.0234766969461647	0.0329295072379188	5	12
ENSG00000234906	APOC2	8.61083287829261	0.154983408366602	0	0.331	2.10845238610811e-18	28	34
ENSG00000138613	APH1B	7.9390786437572	0.192698022750443	1.99840144432528e-15	0.0700556590502613	0.000191875832948273	12	12
ENSG00000186684	CYP27C1	7.60135684157992	0.24073076999474	2.93098878501041e-14	0.06301617678647	0.000414690134194608	14	15
ENSG00000030582	GRN	-7.52173738522725	-0.195643351177911	5.39568389967826e-14	0.208767386317876	2.13296963936212e-11	12	13
ENSG00000266903	AC243964.3	7.37699205708621	0.0770625774594421	1.61870516990348e-13	0.47686876010943	8.03017572312255e-29	4	4
ENSG00000203710	CR1	6.99672836138257	0.0769685207411415	2.62012633811537e-12	0.192323661207033	1.5979000647847e-10	66	69
ENSG00000261218	AC099524.1	6.98809523809524	1.05597967774244	2.78643774720422e-12	0.021	0.0468533156723731	1	1
ENSG00000213413	PVRIG	-6.76322390262139	-0.0977853510814648	1.34954269981336e-11	0.301053814895682	1.20767162062748e-16	8	9
ENSG00000158864	NDUFS2	-6.47964198476402	-0.115677170179692	9.19404552490732e-11	0.144872393808245	4.3838717219517e-08	21	21
ENSG00000158869	FCER1G	-6.46329267405696	-0.231903905348672	1.02448938221755e-10	0.0389470706478736	0.00581233974024438	8	8
ENSG00000204290	BTNL2	6.34796329132381	0.141596368352599	2.18184137423805e-10	0.144815322017516	4.41286399448836e-08	34	43
ENSG00000221838	AP4M1	-6.33955121489344	-0.212489818413748	2.30435448500543e-10	0.110821405465641	2.10833992532337e-06	3	4
ENSG00000103510	KAT8	-6.28165356179903	-0.0757248276572668	3.34990701844617e-10	0.20458216425319	3.5738102885173e-11	10	10
ENSG00000087589	CASS4	-6.23217261612608	-0.786103948490513	4.60010252112397e-10	0.0477289081513948	0.00221102911703939	3	3
ENSG00000169592	INO80E	6.23013847424623	0.0961025259428149	4.66022997969162e-10	0.145146994211132	4.24699527518246e-08	8	9
ENSG00000178226	PRSS36	-6.13939866469537	-0.0839335303560523	8.28344504100187e-10	0.378861552755389	1.29710366306852e-21	5	5
ENSG00000234327	AC012146.1	-6.09570222360386	-0.0938547847308574	1.0895806479283e-09	0.250758232999545	1.04077018384618e-13	9	9
ENSG00000250616	AC012645.1	6.08255460338011	0.476657275208303	1.18282583727591e-09	0.0451289181722214	0.00294152894940327	3	4
ENSG00000238083	LRRC37A2	-6.03049505086951	-0.0693686316536471	1.63458180324483e-09	0.646	6.6178444713903e-45	48	59
ENSG00000166997	CNPY4	-5.98049115635897	-0.139605761634389	2.22465801336114e-09	0.143232986704813	5.29697756842424e-08	20	21
ENSG00000090238	YPEL3	-5.71229691738091	-0.0770182354533653	1.11461393448309e-08	0.0924863184117574	1.62503782373742e-05	4	6
