gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000187244	BCAM	12.0110266892154	0.42936510893031	0	0.0257411835793774	0.0203081432027658	10	11
ENSG00000196126	HLA-DRB1	9.47124143748507	0.246476786914742	0	0.442385495964918	4.60812288195694e-28	11	34
ENSG00000234906	APOC2	8.73232312074469	0.197453992994054	0	0.134	5.52591757659752e-08	28	34
ENSG00000186567	CEACAM19	8.29588667088149	0.13868602971993	0	0.271	7.58254650696724e-16	58	67
ENSG00000159640	ACE	-7.85679974712073	-0.332472701496984	3.99680288865056e-15	0.151475974605576	5.74174074030169e-09	8	9
ENSG00000266903	AC243964.3	7.5856430594247	0.0829967367940648	3.30846461338297e-14	0.470666654139887	2.04524220456574e-30	3	3
ENSG00000030582	GRN	-7.58442540499424	-0.186915019126041	3.33066907387547e-14	0.0674299129857554	0.000146535455409196	10	12
ENSG00000007255	TRAPPC6A	-7.29768793087247	-0.384100188424629	2.92654789291191e-13	0.0387056730366939	0.00430231121574495	11	12
ENSG00000106351	AGFG2	7.18787204097749	0.180584627329117	6.58140208997793e-13	0.187351572572051	5.9352557579931e-11	6	7
ENSG00000130202	NECTIN2	7.08574868605863	0.289243865052272	1.3828937994731e-12	0.0243583159904336	0.0240322021892832	22	25
ENSG00000270761	AL355353.1	-6.93083128291923	-0.141249681779533	4.18376444599744e-12	0.259858566613022	3.1945069479079e-15	6	6
ENSG00000168918	INPP5D	-6.88101636156422	-0.418323748981431	5.94280180621354e-12	0.022	0.0341161674156077	28	30
ENSG00000237541	HLA-DQA2	-6.83163915579573	-0.149333370035441	8.39506242300558e-12	0.403181293056602	5.46194800252333e-25	4	12
ENSG00000138613	APH1B	6.63150355308898	0.167343281886916	3.32285310378211e-11	0.0251856958355121	0.0217271561623032	17	17
ENSG00000179965	ZNF771	-6.57478154491591	-1.3139903744055	4.87245799263292e-11	0.022	0.0326032648530869	14	16
ENSG00000136717	BIN1	-6.51474724004006	-0.0696928293005904	7.28122007132015e-11	0.4220913985023	1.90699540675298e-26	14	14
ENSG00000176681	LRRC37A	-6.49958664495289	-0.0612396667374423	8.05409072768271e-11	0.645616676487028	1.61359247326207e-48	35	42
ENSG00000179344	HLA-DQB1	6.41977232537536	0.323247819259433	1.36478384149541e-10	0.57551333208937	2.21724062311151e-40	11	24
ENSG00000158864	NDUFS2	-6.33875351191277	-0.128724275623821	2.3163138074267e-10	0.252473832035814	9.05115774571614e-15	19	19
ENSG00000103510	KAT8	-6.24069148830608	-0.0736045996888394	4.3564063467727e-10	0.40092639213019	8.09180763358805e-25	8	9
ENSG00000264589	MAPT-AS1	6.23758956980389	0.165920260367826	4.44364767204775e-10	0.0574756103496601	0.000471878809904142	9	10
ENSG00000235077	AC073842.1	-6.19714393565908	-0.161273491392941	5.74969183375629e-10	0.139103795284897	2.67384602417006e-08	8	10
ENSG00000198087	CD2AP	6.18054857189201	0.218621403631105	6.3879235234765e-10	0.156536498784243	3.04386221910248e-09	8	9
ENSG00000178226	PRSS36	-6.10690815283774	-0.0823869222300245	1.01579655797934e-09	0.419826950267819	2.86599640704613e-26	6	6
ENSG00000260163	AC012508.1	6.07898094083326	0.210739313604672	1.20948739912308e-09	0.0461495320078504	0.00178650094278251	13	15
ENSG00000066923	STAG3	-6.0692578192544	-0.0823267130589181	1.28502719576318e-09	0.507761742787054	1.06846123344129e-33	26	30
ENSG00000073008	PVR	-6.03364523239693	-0.130929146924552	1.60301794061013e-09	0.184925889336649	8.13031253523643e-11	14	15
ENSG00000238083	LRRC37A2	-5.99123967193754	-0.0640696620318358	2.08247463717726e-09	0.698661509670298	7.99019173756735e-56	22	28
ENSG00000104853	CLPTM1	-5.92936350630085	-0.764052447211079	3.04111180682298e-09	0.0385642614591227	0.00437499267729078	7	9
ENSG00000167840	ZNF232	-5.87365207847416	-0.135633955675111	4.26297597222458e-09	0.128	1.14156302144377e-07	84	88
ENSG00000234327	AC012146.1	-5.83213393871604	-0.0782604132292387	5.47229639380475e-09	0.113768895264094	5.91045034640222e-07	14	14
ENSG00000169592	INO80E	5.82938892059119	0.0696649424754433	5.56307133692258e-09	0.321665418551513	3.46657087028383e-19	29	30
ENSG00000120915	EPHX2	5.79282778764322	0.102010351674142	6.9211065767405e-09	0.297	1.63520249461096e-17	27	28
ENSG00000103507	BCKDK	-5.7907643607346	-1.24125875875762	7.0066821233894e-09	0.029	0.0141416610444896	7	7
ENSG00000090238	YPEL3	-5.70679582432017	-0.076300377699544	1.15122740229623e-08	0.403076106830844	5.56319568648354e-25	4	6
ENSG00000262372	CR936218.1	5.70556705293963	0.205203134055363	1.1595639781703e-08	0.0187802646965808	0.0478561705645149	7	9
ENSG00000146648	EGFR	5.6921243099024	0.148032987355812	1.25468448963773e-08	0.133989322662822	5.02365807331446e-08	6	6
ENSG00000164938	TP53INP1	-5.68258881649714	-0.693149272949508	1.32670974206661e-08	0.019	0.0487061355343101	7	8
ENSG00000106261	ZKSCAN1	-5.67961825044234	-0.231579336973919	1.3499569462283e-08	0.0432191161831085	0.00252352388277794	13	14
ENSG00000265971	AC005828.5	-5.63673070001557	-0.298371344942417	1.73308811746153e-08	0.0580361179394285	0.000441819035196063	3	3
ENSG00000261879	AC087500.1	5.48079619543879	0.397031910348594	4.23416008921151e-08	0.033444856979393	0.00803990288117822	15	16
ENSG00000166128	RAB8B	-5.4783605161554	-0.330617518190816	4.29284794378759e-08	0.10907548983013	1.04116839191074e-06	10	10
ENSG00000185294	SPPL2C	-5.44871978215731	-0.0637237924406287	5.07336712640694e-08	0.377450114673818	4.4531059033441e-23	7	7
ENSG00000213413	PVRIG	-5.39962772852317	-0.0983833706358847	6.67793247366433e-08	0.39669158569241	1.68626036193493e-24	27	32
ENSG00000104859	CLASRP	-5.39519634618613	-0.191523877628555	6.84486598512279e-08	0.0326048197226755	0.00888812759872477	14	17
ENSG00000214401	KANSL1-AS1	-5.32263649274549	-0.0682276600506994	1.02273990387758e-07	0.63336208699435	5.49512540709738e-47	12	28
ENSG00000279685	MAPT-IT1	-5.29132237639357	-0.107772319964357	1.21435094424527e-07	0.137599197001823	3.21991716363148e-08	18	19
ENSG00000170684	ZNF296	-5.22215097926074	-0.248997983488362	1.76856679301451e-07	0.0289367080570918	0.0137992707585064	5	5
ENSG00000174943	KCTD13	-5.1919456188388	-0.388360958334242	2.08107794996693e-07	0.025	0.0212988920780493	9	9
ENSG00000108556	CHRNE	5.13899149920198	0.0720407109583481	2.76216893135839e-07	0.135210114500729	4.32279130241175e-08	9	10
ENSG00000138442	WDR12	5.07102285322054	0.187751310659236	3.95683248610723e-07	0.0264094781868965	0.0187261521952899	8	8
ENSG00000167716	WDR81	-5.06419294335871	-0.190970997236634	4.10134106010318e-07	0.142713957450522	1.71006861858351e-08	12	13
ENSG00000158796	DEDD	-5.06024096385542	-1.25017960061852	4.18726965545346e-07	0.0218971557799316	0.0324978792041201	1	1
ENSG00000186868	MAPT	5.01529767018654	0.139867733066522	5.29514212699311e-07	0.101	2.84502589750547e-06	55	65
ENSG00000103642	LACTB	5.01142424308769	0.0811166590727646	5.40286533068368e-07	0.110085082682243	9.21940768773964e-07	12	13
ENSG00000225190	PLEKHM1	5.00397655896435	0.0953734091708966	5.615958913463e-07	0.621457422922666	1.51475698846883e-45	20	27
ENSG00000228696	ARL17B	-4.99459525744529	-0.0550061366604809	5.89592850319676e-07	0.574297758650389	2.98400293931389e-40	76	88
ENSG00000232300	FAM215B	-4.96925388683697	-0.145006364250212	6.72110194388509e-07	0.38079365685767	2.53940966844627e-23	2	5
ENSG00000184922	FMNL1	4.93546046650107	0.543104972654438	7.99618772084898e-07	0.368	2.57505832095371e-22	18	20
ENSG00000073969	NSF	4.92631578947368	1.06447981834007	8.37945347775815e-07	0.205457744110758	5.51418016006502e-12	1	2
ENSG00000106460	TMEM106B	-4.89557938448295	-0.171089146325367	9.80165135500144e-07	0.102	2.56520255660222e-06	22	24
ENSG00000204290	BTNL2	4.89360987243122	0.113493718201178	9.90030010195042e-07	0.168210098651276	6.9531658464603e-10	35	47
ENSG00000196666	FAM180B	-4.86812641424962	-0.213659642782377	1.12661257345437e-06	0.152	5.73503201461893e-09	14	15
ENSG00000221914	PPP2R2A	-4.85512353815962	-0.343264581554073	1.20311714724153e-06	0.0237668563730133	0.0258330678866632	2	2
ENSG00000185829	ARL17A	-4.8277997385542	-0.0658160979169911	1.3804981255916e-06	0.599	9.26685469403259e-43	42	49
ENSG00000145217	SLC26A1	-4.79847114658552	-0.0484295408544421	1.59881334305112e-06	0.509919160673243	6.76728021168095e-34	21	23
ENSG00000119203	CPSF3	4.79530220008461	0.187965623960619	1.62429774919204e-06	0.112811374929528	6.63533341451852e-07	8	8
ENSG00000139629	GALNT6	-4.74522338839101	-0.0886599379070492	2.08276352942072e-06	0.178	2.27158348111812e-10	34	37
ENSG00000104884	ERCC2	4.74190326675351	0.132118133442639	2.11719716891601e-06	0.0274369273662821	0.0165361145412549	20	20
ENSG00000103356	EARS2	4.7334575034032	0.0839459749897978	2.20727194433223e-06	0.184504301190205	8.5866374275101e-11	2	2
ENSG00000167394	ZNF668	4.71922592058049	0.432773686120501	2.367437807127e-06	0.042	0.00310168286556646	11	15
ENSG00000213619	NDUFS3	-4.70650609516721	-0.608980471833593	2.51998454414704e-06	0.076	5.54265571941333e-05	4	5
ENSG00000161929	SCIMP	4.68485069322637	0.0983173297438937	2.80164086530199e-06	0.269959521486848	7.56379037523511e-16	6	7
ENSG00000204590	GNL1	4.63218390804598	1.06779718338246	3.6182851408384e-06	0.0371207506192519	0.00519173011514088	1	1
ENSG00000093167	LRRFIP2	4.61266607408099	0.174127914069379	3.97536686191913e-06	0.036	0.00613721169705744	29	29
ENSG00000278133	AC135050.6	4.59561816312029	0.177904368043394	4.3146819468376e-06	0.226757857118228	3.15852776872406e-13	4	5
ENSG00000255197	AC090559.1	-4.59026698591071	-0.0730063536521724	4.42679401846391e-06	0.208230136843483	3.81573289721402e-12	21	22
ENSG00000279727	LINC02033	-4.54045990097491	-0.461065266355715	5.61316540559353e-06	0.063	0.000262239923430462	11	11
ENSG00000159314	ARHGAP27	-4.52898300572363	-0.0526463981718278	5.92682652000853e-06	0.349199831988885	4.57019792095767e-21	10	14
ENSG00000165915	SLC39A13	-4.49115493064832	-0.0655545965372206	7.08379967062633e-06	0.188052484929479	5.41851636745139e-11	14	16
ENSG00000158691	ZSCAN12	4.47819523093754	0.308748126168179	7.52767431033696e-06	0.03	0.0129044454718504	12	12
ENSG00000173110	HSPA6	4.44801272977713	0.0703316820913436	8.6668394683187e-06	0.0764621663066938	5.05853303794271e-05	44	47
ENSG00000164733	CTSB	-4.42937987233076	-0.102301787960709	9.45044351796653e-06	0.153457252419021	4.48023516471192e-09	14	15
ENSG00000241106	HLA-DOB	-4.39920921411108	-0.0346904471515686	1.08646048289085e-05	0.685235355538582	7.34693849024243e-54	19	22
ENSG00000188290	HES4	-4.39116984201861	-0.388088094740208	1.12742429023704e-05	0.0201712653542725	0.0402342245396605	12	16
ENSG00000271855	AC073195.1	4.39112953376606	0.10873121873472	1.12763334423338e-05	0.131505834125065	6.81625292472411e-08	12	14
ENSG00000099381	SETD1A	-4.37666447151905	-0.240757757851267	1.20509265038038e-05	0.066	0.000175206261961958	17	20
ENSG00000261195	AC027130.1	4.37645454951988	0.0962065047523111	1.20625329820268e-05	0.236718762614853	8.08549834551282e-14	4	4
ENSG00000101307	SIRPB1	-4.37033557371869	-0.0440457691207316	1.24055740018392e-05	0.646	2.11428761552099e-48	9	10
ENSG00000260911	AC135050.3	-4.31208533510046	-0.0718239288144802	1.6172198944675e-05	0.401	1.09553386722764e-24	19	22
ENSG00000103496	STX4	-4.30777094595583	-0.123442426300367	1.64908027360244e-05	0.132	6.73917706567964e-08	8	10
ENSG00000189298	ZKSCAN3	-4.30698461820711	-0.0779145871411203	1.65495113455538e-05	0.16738027866886	7.72719852856504e-10	16	16
ENSG00000167395	ZNF646	-4.30588235294118	-1.08885112066849	1.66321438241912e-05	0.0438316613109683	0.00234762528466293	1	3
ENSG00000007264	MATK	4.29811883599086	0.541065874198017	1.7225380871011e-05	0.0336573523578167	0.0078386622501096	2	2
ENSG00000166797	CIAO2A	-4.28980712141913	-0.71255288474646	1.78828358463612e-05	0.022	0.0314701647670715	4	4
ENSG00000271828	AC008937.3	-4.28759613616898	-0.0834344566373618	1.80617095781876e-05	0.105716512197608	1.55938016535855e-06	12	14
ENSG00000281708	ERC2-IT1	4.28700781309326	0.148036156398726	1.81095926155006e-05	0.0279702293365874	0.0155044875539396	22	23
ENSG00000260304	AC009088.2	4.24390892297141	0.138433908060836	2.19659532993965e-05	0.256969125817261	4.80711293857532e-15	4	5
ENSG00000103550	KNOP1	-4.23724655839948	-0.0403807366620874	2.26277611703463e-05	0.548724757695416	1.27866438261962e-37	9	9
ENSG00000143771	CNIH4	-4.2358950157769	-0.116130158356764	2.27643125705335e-05	0.101099810768224	2.71235866397057e-06	12	14
ENSG00000168917	SLC35G2	4.22927383278758	0.292151770618722	2.34446838862645e-05	0.099315086545841	3.35786034475028e-06	3	3
ENSG00000188186	LAMTOR4	4.19269471596189	0.0404506473167813	2.75660296860103e-05	0.436793550876655	1.30242040251198e-27	4	4
ENSG00000262766	AC135050.5	-4.19162375353758	-0.108145233958854	2.7696504234731e-05	0.0828456221721509	2.37969701874568e-05	10	10
ENSG00000167191	GPRC5B	4.17087668263838	0.216598564708444	3.03430039507724e-05	0.103	2.27946831044133e-06	22	23
ENSG00000172803	SNX32	-4.16814431617092	-0.0338671736502328	3.07089491053958e-05	0.519821397266714	8.10577435483204e-35	6	6
ENSG00000228789	HCG22	4.16279989306277	0.0937252727768001	3.14368852607494e-05	0.125939264983751	1.34745011757674e-07	11	12
ENSG00000124459	ZNF45	-4.15939914240712	-0.07573100791472	3.19085878393022e-05	0.168135468525916	7.01951021097112e-10	10	10
ENSG00000188176	SMTNL2	-4.13354308917787	-0.135317213889528	3.5721328738969e-05	0.0333265017849858	0.00815425318096989	22	23
ENSG00000168434	COG7	-4.12584524245205	-0.169211517752237	3.69375603768152e-05	0.0617618256093742	0.000285244855188834	4	4
ENSG00000021355	SERPINB1	4.11746250372271	0.0686666734161867	3.83066829692247e-05	0.227	3.42278130145319e-13	78	81
ENSG00000198400	NTRK1	4.1165444774696	0.25659842585107	3.84595137963295e-05	0.048	0.00153282003531805	13	13
ENSG00000204568	MRPS18B	-4.10837218651413	-0.349399073943307	3.98457616619385e-05	0.0315492668960824	0.0100841509759561	9	10
ENSG00000185324	CDK10	4.10735202939593	0.0432483778456916	4.00221011414015e-05	0.555365748035635	2.74027636873822e-38	15	15
ENSG00000261360	AC010491.1	4.10079198085761	0.188340110086461	4.11738560943675e-05	0.10604587392673	1.49889159461579e-06	3	3
ENSG00000122873	CISD1	-4.07513315143046	-0.107916532783229	4.59880260545997e-05	0.081	3.12121369126717e-05	8	9
ENSG00000267222	AC107993.1	4.06766482170264	0.516165934022321	4.74866190247614e-05	0.035	0.00661535613647211	7	8
ENSG00000164823	OSGIN2	4.05665175997308	0.172141918976752	4.97812207087556e-05	0.0226577456889521	0.0295947272146646	13	13
ENSG00000108528	SLC25A11	4.05455713333588	0.166257865729613	5.02293732360659e-05	0.052611359312017	0.000835516200030231	18	19
ENSG00000008294	SPAG9	-4.04490801220546	-0.0937940647341966	5.23436727328797e-05	0.121761061658464	2.24236470286936e-07	13	14
ENSG00000167397	VKORC1	4.04328175457216	0.134503611065114	5.27082179619942e-05	0.0296630484319148	0.0126446289597298	3	4
ENSG00000141699	RETREG3	-4.03217464198335	-0.290917360683338	5.52630941497156e-05	0.046	0.00178142330209879	20	21
ENSG00000115073	ACTR1B	-4.0292895703528	-0.0337329955806199	5.59456699378291e-05	0.452149787587735	7.32497924212321e-29	5	5
ENSG00000099377	HSD3B7	-4.02625556998383	-0.0877657923667218	5.66720919339403e-05	0.028416212716529	0.0146923757941457	6	6
ENSG00000198252	STYX	4.02554327359831	0.0990418680055679	5.68439253108011e-05	0.096714295107992	4.58104222938645e-06	9	10
ENSG00000196118	CCDC189	4.02210439166956	0.129926229899734	5.76804817347121e-05	0.0420855639063187	0.0028847797502514	7	7
ENSG00000138346	DNA2	-4.01555587938927	-0.0424175162761221	5.93058445466088e-05	0.60682673564311	7.76253546034595e-44	19	20
