gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000203710	CR1	11.9626146323913	0.213419737413851	0	0.106144954865274	1.08414430468396e-05	7	7
ENSG00000234906	APOC2	10.6728529147768	0.262181312663023	0	0.0972310030895546	2.66173710000648e-05	6	7
ENSG00000269148	AC092301.1	-8.73440092073542	-0.245267285862008	0	0.0309011873764322	0.0199688647068013	21	24
ENSG00000120885	CLU	-8.1070408176063	-0.347561864620216	4.44089209850063e-16	0.074478375725372	0.000258226593723699	8	9
ENSG00000186567	CEACAM19	7.91208063458426	0.123244685651318	2.44249065417534e-15	0.243479103392961	3.97804636667426e-12	8	8
ENSG00000159640	ACE	-7.69888713387434	-0.228073406593186	1.37667655053519e-14	0.104504284782971	1.27955483406987e-05	3	3
ENSG00000204290	BTNL2	7.63348775590895	0.359795630882871	2.28705943072782e-14	0.09916394282269	2.19165529334368e-05	4	10
ENSG00000138613	APH1B	7.62814659097504	0.177097812132457	2.37587727269783e-14	0.126810754012043	1.32101016372172e-06	19	19
ENSG00000266903	AC243964.3	7.54133099307847	0.0811760706035156	4.66293670342566e-14	0.458592650807397	7.91647706938726e-25	3	3
ENSG00000030582	GRN	-7.21110655761523	-0.117704710433058	5.54889467707653e-13	0.202401199945092	4.20972586419753e-10	18	19
ENSG00000213413	PVRIG	-6.58992630008911	-0.0871708871562029	4.40045777594378e-11	0.209120146634844	1.99397628531867e-10	12	12
ENSG00000108219	TSPAN14	6.49333613141721	0.24707282647638	8.3956175345179e-11	0.0359027065181301	0.0120247888411735	5	5
ENSG00000221838	AP4M1	-6.31556123255457	-0.13877142705394	2.69182676149171e-10	0.138944988426822	3.77414704734526e-07	6	6
ENSG00000103510	KAT8	-6.28646626035152	-0.0748628989605922	3.24773541393597e-10	0.260519835031313	5.36699945998894e-13	10	10
ENSG00000235077	AC073842.1	-6.27380249514494	-0.175702263503582	3.52335494113731e-10	0.0707260125304108	0.000374875659772998	7	8
ENSG00000090238	YPEL3	-6.26404028235707	-0.118799105469155	3.75128594853891e-10	0.0450353872284239	0.00481114742824872	8	9
ENSG00000239521	CASTOR3	-6.07755154617412	-0.706908661980181	1.22031451610383e-09	0.0396014158383906	0.00828742669657809	4	6
ENSG00000169592	INO80E	6.04065291980138	0.095927568835643	1.53491841459186e-09	0.148873917139185	1.3401690138993e-07	8	9
ENSG00000160862	AZGP1	-6.0176004776157	-0.142618145997386	1.77021441949421e-09	0.116453792780571	3.80978847049248e-06	11	11
ENSG00000066923	STAG3	-6.00617307379847	-0.154891651202033	1.89953430762557e-09	0.189093366987283	1.81913755083263e-09	7	8
ENSG00000238083	LRRC37A2	-5.97058828276708	-0.0503578096980732	2.36399610997751e-09	0.70187119039585	2.47773098423325e-47	26	31
ENSG00000136717	BIN1	-5.93786011755802	-0.400336623956319	2.88766255351902e-09	0.0387290210808322	0.00904631750996183	2	2
ENSG00000158864	NDUFS2	-5.93133186653503	-0.121003703232566	3.00487168480856e-09	0.0924102709713768	4.31725220940286e-05	39	42
ENSG00000149923	PPP4C	5.66905198851507	1.18081719838947	1.43589795609245e-08	0.061	0.00099221647034318	2	2
ENSG00000170684	ZNF296	-5.57398740566061	-0.235898671965205	2.4897374162336e-08	0.0604051588735187	0.00104387504847745	5	5
ENSG00000234327	AC012146.1	-5.56822023733439	-0.0823346411703249	2.57354415555966e-08	0.112373591145469	5.76877660388868e-06	14	15
ENSG00000174943	KCTD13	5.55202593461109	0.314477749466858	2.82377687899071e-08	0.048	0.00379761335666114	9	9
ENSG00000179526	SHARPIN	5.52613834808455	1.20379864541627	3.27356026730286e-08	0.0389910446525796	0.0088112649735261	5	8
ENSG00000214401	KANSL1-AS1	-5.49095547037516	-0.0488225669723705	3.99765143210828e-08	0.63141972259968	2.4306333116808e-39	24	30
ENSG00000073008	PVR	-5.45755116254247	-0.113800808421102	4.82746076446716e-08	0.207	2.91639775072442e-10	59	66
ENSG00000146648	EGFR	5.37643181410343	0.182377592887113	7.59764526847562e-08	0.149209536100553	1.2938588284745e-07	5	5
ENSG00000250616	AC012645.1	5.37607568045183	0.240023284135768	7.61268039717322e-08	0.0606121415222391	0.00102265865364437	5	7
ENSG00000149187	CELF1	-5.35860972964753	-0.253154266642154	8.38647948864235e-08	0.041	0.00714629456742546	48	53
ENSG00000137338	PGBD1	-5.35786635310359	-0.297181636117364	8.42104928011622e-08	0.0753796301790621	0.000236098692853454	6	6
ENSG00000108556	CHRNE	5.29210759586627	0.0670630699710422	1.20914714463183e-07	0.234047147300455	1.1839598346516e-11	12	13
ENSG00000151224	MAT1A	-5.27932426821929	-0.310578547080145	1.29661164915973e-07	0.0230727417690484	0.0447848892012796	8	9
ENSG00000050438	SLC4A8	-5.27779425514527	-0.173877232260517	1.30748145865667e-07	0.109	8.92352372107624e-06	28	29
ENSG00000110079	MS4A4A	5.21448292481153	0.256105549118022	1.84330680497169e-07	0.034843644128912	0.0133825824674048	5	6
ENSG00000138442	WDR12	5.18948479416364	0.261287771086914	2.10876722528397e-07	0.0288829866852545	0.024544491723059	6	6
ENSG00000237640	AC004522.3	-5.18908447577973	-0.131611682664652	2.11330515975661e-07	0.092	4.58572448847232e-05	13	13
