gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000173585	CCR9	11.3389655355204	0.888534026773372	0	0.0217278240796536	0.000128529320505129	5	5
ENSG00000068650	ATP11A	-7.672677742657	-1.47466974373346	1.68753899743024e-14	0.016	0.000930927476187033	16	16
ENSG00000131400	NAPSA	-7.62690589819095	-0.817793685877542	2.39808173319034e-14	0.04	1.84200870292447e-07	4	5
ENSG00000108379	WNT3	-6.77725383352576	-0.483186723962935	1.22482024522697e-11	0.02	0.000292003688498994	17	19
ENSG00000105397	TYK2	6.44470662488721	0.13155177251422	1.15824239088624e-10	0.127061938653085	1.66533749153318e-21	14	14
ENSG00000237945	LINC00649	-6.31050596830072	-0.0635141281807032	2.78124634434107e-10	0.475555268317601	1.07099070631109e-95	30	30
ENSG00000105376	ICAM5	6.27419405869188	0.362850948117874	3.5144998022929e-10	0.0309969370192622	4.54998730473828e-06	6	6
ENSG00000111331	OAS3	6.1052831007029	0.299589740313266	1.02618624708839e-09	0.0220266819875283	0.000115352608626634	4	4
ENSG00000164398	ACSL6	5.63648477034219	0.110985750252699	1.73556375937522e-08	0.0628321382371135	4.65717763633681e-11	24	24
ENSG00000259803	SLC22A31	5.38425099747289	0.0833285066398851	7.2746932255896e-08	0.270320621418082	1.14242992171528e-47	20	22
ENSG00000159110	IFNAR2	-5.38324266739982	-0.215846577833962	7.31558058575388e-08	0.064	3.95219045790063e-11	129	134
ENSG00000204525	HLA-C	5.29455207842313	0.0451781900763984	1.19308485757585e-07	0.537245165288963	7.09526688723337e-114	42	43
ENSG00000121691	CAT	5.14080462679192	0.0556879700525094	2.73564400021797e-07	0.393558785415292	1.38777829661213e-74	18	18
ENSG00000214401	KANSL1-AS1	-5.1340526803937	-0.0698858377573673	2.83568666770151e-07	0.655289126182359	1.23252838584326e-156	18	27
ENSG00000142166	IFNAR1	-5.10432890186706	-0.0904515091221066	3.31970469780174e-07	0.0982071845185062	9.84504669977746e-17	25	25
ENSG00000160691	SHC1	4.9735174316008	0.234668110480321	6.57488586686128e-07	0.117695072046835	6.10839176537572e-20	24	25
ENSG00000137310	TCF19	4.95560266784126	0.0998287930361681	7.21064350006628e-07	0.143615573111983	2.62042473912639e-24	21	22
ENSG00000223552	CCR5AS	-4.93556762117006	-0.367906612151293	7.99179840749176e-07	0.029	1.06143137723757e-05	6	6
ENSG00000104388	RAB2A	4.81367482599155	0.0943243592940673	1.4817985083404e-06	0.109250816421012	1.52530963708031e-18	8	8
ENSG00000160791	CCR5	-4.81009291879434	-0.460753041248292	1.50860149283893e-06	0.054060956344008	1.12345492358185e-09	6	6
ENSG00000164663	USP49	-4.80510225007969	-0.0891398241385735	1.54672437946424e-06	0.124855990100926	3.90225054149516e-21	11	11
ENSG00000161405	IKZF3	4.79749904928803	0.135676949355438	1.6065897174844e-06	0.0635829178131414	3.54325048797111e-11	5	5
ENSG00000142233	NTN5	-4.7573980547606	-0.0988939340419267	1.96104236072081e-06	0.0718551632825096	1.72511331036623e-12	17	17
ENSG00000267344	AC003070.1	4.74862132030581	0.18234201594895	2.04808014858671e-06	0.0765966991995354	3.02362468415682e-13	11	11
ENSG00000146826	MAP11	4.74368428031708	0.0977875059787021	2.0986585089755e-06	0.148044520714414	4.56861207167563e-25	7	7
ENSG00000241837	ATP5PO	4.73625082435604	0.102053285042132	2.17708120042737e-06	0.0600321154778654	1.28922215184343e-10	9	9
ENSG00000073605	GSDMB	-4.71543797267657	-0.0477491590445796	2.4119136412537e-06	0.427378430483558	6.32312246633993e-83	11	11
ENSG00000090339	ICAM1	4.69025462521616	0.835672715354693	2.72865275219303e-06	0.0612785065923567	8.19586193480111e-11	2	2
ENSG00000272501	AL662844.4	4.66924463159971	0.0625124610374841	3.02309223498831e-06	0.240680153561515	7.21962294501927e-42	22	22
ENSG00000074842	MYDGF	-4.66153891673226	-0.304801621122549	3.13853704980716e-06	0.0210262613814718	0.000165711977003306	23	23
ENSG00000172057	ORMDL3	-4.65689392559773	-0.0535232800916996	3.21015734283669e-06	0.336806838283011	1.41972719098215e-61	30	31
ENSG00000166016	ABTB2	4.64804843249707	0.0857161043030954	3.35090245640046e-06	0.207295167629041	1.35485604650453e-35	19	19
