gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000163817	SLC6A20	22.5767562478409	1.19469818927082	0	0.0193512952832738	0.00155289443039934	10	10
ENSG00000172215	CXCR6	-19.2045704548654	-0.912998266558963	0	0.0196828981147697	0.00141349556277396	9	9
ENSG00000241837	ATP5PO	8.75563882906475	0.10205007521458	0	0.300083549232115	1.1493546489961e-41	11	11
ENSG00000211456	SACM1L	8.51390227116607	0.476168483109473	0	0.0193755208044668	0.00154225646899585	14	14
ENSG00000135374	ELF5	8.42192483544725	0.206897957663352	0	0.157560807857997	6.98536561221537e-21	12	12
ENSG00000243646	IL10RB	8.02662273765432	0.124526980408885	1.11022302462516e-15	0.187991963604533	5.10804446455912e-25	28	30
ENSG00000185499	MUC1	7.96546737660022	0.260366272456715	1.55431223447522e-15	0.0167320330510571	0.00327468496043344	12	12
ENSG00000064195	DLX3	7.44524034942117	0.364328923658586	9.68114477473137e-14	0.0339019073094112	2.61891991471777e-05	10	10
ENSG00000186868	MAPT	-7.30696153357413	-0.102565927895488	2.73336908662714e-13	0.256291909538771	7.1553588077481e-35	15	16
ENSG00000121807	CCR2	7.12278022985624	0.551351565918496	1.05782049786285e-12	0.0187682389553982	0.00183252975367343	5	5
ENSG00000269392	AC008655.2	-6.83542277382723	-0.632751330632944	8.17634848715443e-12	0.0127234327908206	0.0104143640824984	13	13
ENSG00000175164	ABO	6.75607333391352	0.0699799613540412	1.4178214158278e-11	0.458424865995152	2.50325816516415e-70	37	40
ENSG00000108379	WNT3	-6.64305411957781	-0.170107769316393	3.07249781172914e-11	0.16	3.40269885563809e-21	17	19
ENSG00000129910	CDH15	6.59491492425667	0.169788038265704	4.25499635525739e-11	0.113161085101033	4.32137586667125e-15	22	23
ENSG00000117983	MUC5B	-6.49199261970658	-0.150657931321052	8.4708462466665e-11	0.107325940059594	2.38395411609116e-14	18	18
ENSG00000223799	IL10RB-DT	6.47394067718017	0.201870185401618	9.54794021623684e-11	0.0492071627593105	3.67022760798749e-07	22	23
ENSG00000163827	LRRC2	-6.2346859568116	-0.210841514657082	4.52685222640525e-10	0.0188278357604444	0.00180175443928616	18	18
ENSG00000283646	LINC02009	6.03540894185398	0.27188446546901	1.58560631291493e-09	0.0389046988235875	6.49344445733887e-06	12	13
ENSG00000160791	CCR5	-6.03426469062371	-0.302559334769887	1.59688129386382e-09	0.0367428177107907	1.18615748243196e-05	20	20
ENSG00000272501	AL662844.4	5.86045882955378	0.0604526621418993	4.61589966249676e-09	0.463858746708599	1.87339265956686e-71	30	31
ENSG00000238083	LRRC37A2	-5.73856324285867	-0.0679739925337805	9.54831080868246e-09	0.551194793172525	2.6802862253964e-91	48	55
ENSG00000176920	FUT2	5.69436874473781	0.283077485494277	1.23829202447467e-08	0.0418637536936895	2.84656348135954e-06	7	7
ENSG00000259803	SLC22A31	5.54958091497971	0.0862252577748436	2.86355195111554e-08	0.0341122824523653	2.46968510410341e-05	9	11
ENSG00000225190	PLEKHM1	-5.53001944640638	-0.172861792493302	3.20195290282044e-08	0.114670529131503	2.77378075471106e-15	12	13
