gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000203710	CR1	12.2425561981872	0.320763746685281	0	0.0848974624024484	0.00165943530319885	2	2
ENSG00000266903	AC243964.3	7.65012010118566	0.0853159984329714	1.99840144432528e-14	0.337195521554458	1.26709636591541e-11	2	2
ENSG00000073008	PVR	-7.61045039450967	-0.214921204793638	2.73114864057789e-14	0.08155175200767	0.00207082903797474	12	12
ENSG00000030582	GRN	-7.48999316544219	-0.209990557079103	6.88338275267597e-14	0.051118969068185	0.0155701052392982	9	10
ENSG00000186567	CEACAM19	7.3203538150412	0.136727563792898	2.47357689886485e-13	0.203737276846149	4.64705763744489e-07	18	18
ENSG00000087589	CASS4	-6.83824557524455	-0.654324012359664	8.01692046081826e-12	0.0422292029910159	0.0282787614596314	3	3
ENSG00000237541	HLA-DQA2	-6.82182637162644	-0.147096008269323	8.98903174118004e-12	0.559825338642773	1.10253191142209e-21	4	10
ENSG00000198087	CD2AP	6.74329211978475	0.352888005888473	1.54838364352372e-11	0.055	0.0128036873937242	12	12
ENSG00000136717	BIN1	-6.25688073394495	-3.91914971670067	3.9275360741442e-10	0.0453236370695784	0.0229559801696651	1	1
ENSG00000103510	KAT8	-6.22022751460135	-0.0768967418462861	4.96434449104299e-10	0.128750527203928	8.84436962621533e-05	7	7
ENSG00000255197	AC090559.1	-6.17030705099615	-0.810884711113846	6.81575018646186e-10	0.062	0.00770334652834667	3	3
ENSG00000213413	PVRIG	-6.14774508529462	-0.0789489845792838	7.8592199415084e-10	0.252223408559234	1.24750460989352e-08	12	14
ENSG00000234327	AC012146.1	-5.93272278293141	-0.0832902172012078	2.97951685546138e-09	0.150134341170712	2.05269286234569e-05	12	12
ENSG00000120915	EPHX2	5.82783699473034	0.0847234566235836	5.61503821217002e-09	0.314	1.0503692357008e-10	27	28
ENSG00000090238	YPEL3	-5.70045257683319	-0.0763640226304945	1.19489771410741e-08	0.0435565977061313	0.025855804395583	4	6
ENSG00000260163	AC012508.1	5.68222669380214	0.210030714165068	1.3295227141441e-08	0.079	0.00249531183191199	18	18
ENSG00000103642	LACTB	5.67532872395134	0.0744795418056713	1.38422580064912e-08	0.259008813636398	7.39498033822156e-09	15	18
ENSG00000214401	KANSL1-AS1	-5.63066685520396	-0.0509822677458556	1.79514176856799e-08	0.465420832316356	6.40973196591219e-17	14	17
ENSG00000238083	LRRC37A2	-5.52456729684308	-0.0569904325178663	3.30298617345903e-08	0.45	4.5201652567161e-16	48	59
ENSG00000279685	MAPT-IT1	-5.4708830447847	-0.403391604819286	4.47798746971984e-08	0.086008244692125	0.00154174299672422	3	4
ENSG00000174938	SEZ6L2	-5.42807792259532	-0.450108315266826	5.69641704917245e-08	0.0344825342104056	0.0479212106465969	5	6
ENSG00000066923	STAG3	-5.42752536855153	-0.0744134489409769	5.71407472449437e-08	0.39	1.44934348667117e-13	31	35
ENSG00000108556	CHRNE	5.39728309458464	0.0854120310116049	6.76575908631349e-08	0.355	3.43356046814049e-12	34	37
ENSG00000106400	ZNHIT1	5.22583796727265	0.253817894420618	1.73368134070984e-07	0.0632402161194005	0.00695572248868143	5	5
ENSG00000270761	AL355353.1	-5.13773315210906	-0.133567249642286	2.78072359582993e-07	0.120424029054229	0.000155204709594828	10	11
ENSG00000099817	POLR2E	5.08637891336773	0.203918788858085	3.6496454658419e-07	0.0990147098723244	0.000650269111578067	2	2
ENSG00000170684	ZNF296	-4.99348873941065	-0.75335135062837	5.92982446701029e-07	0.0727153771872988	0.00371527558909337	2	2
ENSG00000225190	PLEKHM1	-4.93387824256313	-0.210170632822098	8.06127032682014e-07	0.0375276206176084	0.0389059637806063	2	2
ENSG00000264589	MAPT-AS1	4.93136713412561	0.118940233160074	8.16560997263238e-07	0.177286549658108	3.08857533577333e-06	8	10
ENSG00000174939	ASPHD1	-4.9147214942981	-0.186216381344437	8.8908757600592e-07	0.143700634906383	3.19395969468928e-05	5	5
ENSG00000176681	LRRC37A	-4.88774626595096	-0.0640584232662919	1.0199686786283e-06	0.44989644069742	3.23707850475263e-16	6	13
ENSG00000145217	SLC26A1	-4.88033343844926	-0.0696505536765617	1.05906626912677e-06	0.142838427580392	3.38830636545457e-05	2	2
ENSG00000241468	ATP5MF	-4.8537684900691	-0.203752702006931	1.21137145159267e-06	0.118	0.000189732412079392	10	11
ENSG00000110536	PTPMT1	4.7826721916931	0.158493550407108	1.7298009620248e-06	0.0341352883610933	0.049078914684878	5	5
ENSG00000188186	LAMTOR4	-4.76817458035	-0.219736579140349	1.8590265724594e-06	0.0830780065081353	0.00187186507199816	5	5
ENSG00000260911	AC135050.3	-4.70260958112482	-0.125107687799979	2.56857283953416e-06	0.190288863955911	1.2251813782175e-06	5	6
ENSG00000204290	BTNL2	4.69172932330827	0.563700605043084	2.7090538894381e-06	0.0868925540107262	0.00145402286414717	1	1
ENSG00000204709	LINC01556	4.68575092662985	0.111817044531915	2.78935318864804e-06	0.140008955333726	4.11188893541414e-05	10	10
ENSG00000189298	ZKSCAN3	-4.68195145579941	-0.106862890338764	2.84156781282796e-06	0.064021001656357	0.00660505583228132	12	13
ENSG00000185829	ARL17A	-4.67982962686126	-0.089161746279416	2.87113406027828e-06	0.156444929848123	1.32727252372331e-05	11	13
ENSG00000108219	TSPAN14	-4.6515077763223	-0.139398655428954	3.29516846586664e-06	0.139100237757572	4.37519231813838e-05	9	9
ENSG00000198252	STYX	4.61929356061145	0.0904134360979947	3.85048762585605e-06	0.154335690581048	1.53592242457355e-05	5	5
ENSG00000196126	HLA-DRB1	4.55014023070753	0.0996963704706937	5.36101756476448e-06	0.279	1.77688774977214e-09	70	127
