gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000267467	APOC4	15.792672792641	0.531668084606798	0	0.0945127034598861	8.56576957238688e-06	8	15
ENSG00000203710	CR1	12.3490475921516	0.903173699856019	0	0.088	1.86284002072348e-05	6	7
ENSG00000234906	APOC2	8.54614033769642	0.146188063751592	0	0.349	2.76816868517813e-20	28	34
ENSG00000186567	CEACAM19	7.92879660611009	0.123829908201546	2.22044604925031e-15	0.194096439228194	5.32927115351224e-11	9	9
ENSG00000204290	BTNL2	7.77664679095229	0.247451912327039	7.54951656745106e-15	0.174788721101464	5.97749882129835e-10	15	23
ENSG00000266903	AC243964.3	7.51073257493995	0.0842510790636165	5.88418203051333e-14	0.419492024260819	2.07688762960023e-25	3	3
ENSG00000166997	CNPY4	-7.09026024167074	-0.18494658248555	1.33870692309301e-12	0.168361233846364	1.32187426262805e-09	12	13
ENSG00000030582	GRN	-6.94276283501187	-0.13754306161421	3.84514642348677e-12	0.073501343606736	9.51462961838478e-05	13	13
ENSG00000198087	CD2AP	6.8915574748526	0.252211555710043	5.5184745662018e-12	0.0852091196571535	2.4956972015402e-05	12	13
ENSG00000158869	FCER1G	-6.83548768423138	-0.217851676254934	8.1725737288707e-12	0.0777117920026684	5.88476866535831e-05	10	10
ENSG00000130208	APOC1	6.5915204052404	0.275470560430715	4.35345093308115e-11	0.0806295811093825	4.21607396121181e-05	35	56
ENSG00000270761	AL355353.1	-6.55171773409968	-0.139302340430801	5.6878945997596e-11	0.0845759677126964	2.68353661139308e-05	9	9
ENSG00000250616	AC012645.1	6.49680281213107	0.212405593528388	8.20448153859843e-11	0.0658114026657907	0.000228415330186272	4	4
ENSG00000138613	APH1B	6.45281443393257	0.242375867391996	1.09791731262021e-10	0.039	0.00485985582607892	87	100
ENSG00000234327	AC012146.1	-6.45023251937148	-0.0885973246142628	1.11678666314674e-10	0.306	1.74904703347749e-17	86	90
ENSG00000213413	PVRIG	-6.41568413132115	-0.0977336343458227	1.40191858122307e-10	0.268267508084155	2.92517457759445e-15	15	18
ENSG00000169592	INO80E	6.37221058568099	0.0896446149486915	1.86322735018507e-10	0.061311834814001	0.000381037497007641	9	9
ENSG00000103510	KAT8	-6.28384682686905	-0.0747404622268362	3.30296234807292e-10	0.252309486019057	2.60583746423017e-14	10	10
ENSG00000073008	PVR	-6.11350281304743	-0.153783063163552	9.74676561682486e-10	0.10752955437992	1.89752061005217e-06	6	6
ENSG00000090238	YPEL3	-6.10295441019136	-0.141365647321236	1.04125552624623e-09	0.143134725419828	2.83284623332916e-08	3	4
ENSG00000278133	AC135050.6	6.08164519062314	0.312350584334182	1.18955578720659e-09	0.0585894149615258	0.000519263895443604	2	3
ENSG00000178226	PRSS36	-6.06648989824603	-0.0810068220039713	1.30735955394812e-09	0.399729709293942	6.04661880491617e-24	6	6
