gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000203710	CR1	12.4019385683521	0.716985212951901	0	0.101	0.000251055453056325	6	7
ENSG00000266921	AC006213.1	11.6576966671649	0.901901507313921	0	0.0306883774201772	0.0470677267427257	9	14
ENSG00000186567	CEACAM19	8.5157570877545	0.150375924242054	0	0.216341774567599	2.80032638270185e-08	5	5
ENSG00000175220	ARHGAP1	7.48395364703423	0.17290202874675	7.21644966006352e-14	0.0884036513866589	0.000621974083369962	14	15
ENSG00000266903	AC243964.3	7.41787618550338	0.082236747118977	1.19015908239817e-13	0.35528660129363	9.17841890765013e-14	3	3
ENSG00000188186	LAMTOR4	-7.12489209860985	-0.169989404111133	1.04161124170332e-12	0.0420366115940537	0.0197625046703249	16	17
ENSG00000213413	PVRIG	-7.05478014595826	-0.11406221921915	1.72883929394629e-12	0.353976830908521	1.04593762516363e-13	11	14
ENSG00000237541	HLA-DQA2	-6.86057128886287	-0.14951938634629	6.85851375692437e-12	0.572631562108816	3.33982013508762e-25	5	13
ENSG00000178226	PRSS36	-6.59355146049478	-0.0968638124166035	4.29427604586863e-11	0.158715065973383	2.92709852139254e-06	3	3
ENSG00000237640	AC004522.3	-6.58040108043582	-0.202283306691362	4.69180250206591e-11	0.104	0.000190409849389558	14	14
ENSG00000090238	YPEL3	-6.3496569026326	-0.257633510203713	2.15795603608626e-10	0.0337361692526767	0.0371972827812535	5	7
ENSG00000234327	AC012146.1	-6.19084425264731	-0.10043937041505	5.98428195885958e-10	0.197563541552789	1.31418703603121e-07	8	8
ENSG00000103510	KAT8	-6.17554556157088	-0.0790251869851516	6.59353904808313e-10	0.157044651209333	3.33616630919333e-06	4	4
ENSG00000158864	NDUFS2	-6.02567828491082	-0.12990647998503	1.68401870226376e-09	0.0579151116624828	0.00601039365891904	11	11
ENSG00000169592	INO80E	5.93403418502835	0.111730427734633	2.95580249165539e-09	0.0706881123095693	0.00232414105830148	11	12
ENSG00000158850	B4GALT3	5.7565420406969	0.296529302254171	8.58544080273305e-09	0.036	0.0302080404077839	22	23
ENSG00000214401	KANSL1-AS1	-5.74402458693636	-0.0590860857300026	9.24523546608214e-09	0.552674728993827	6.16385486746165e-24	14	16
ENSG00000149932	TMEM219	5.71951375361795	0.420407999443121	1.06829327606306e-08	0.0443852492413367	0.0165518096372564	4	4
ENSG00000066923	STAG3	-5.71832936935374	-0.0946852345102335	1.0757646773385e-08	0.304005611062347	1.27587925272006e-11	9	12
ENSG00000239521	CASTOR3	-5.69553066980663	-0.175135487703211	1.2298877249961e-08	0.125426333559212	3.82914518871787e-05	9	9
