gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000267467	APOC4	13.6709945966607	0.478842338795279	0	0.127	4.63728148831976e-05	23	26
ENSG00000203710	CR1	12.2448532011158	0.312728926322713	0	0.0459687049777631	0.0159180672162585	2	2
ENSG00000138613	APH1B	8.38002910377873	0.223751780079684	0	0.07	0.00278451973360604	84	96
ENSG00000186567	CEACAM19	8.30496603692385	0.130284280793807	0	0.119831830063944	7.17310494615678e-05	6	6
ENSG00000159640	ACE	-8.0118318387703	-0.367162866086405	1.11022302462516e-15	0.0443295732440583	0.0179616133946785	5	6
ENSG00000130203	APOE	7.81797334157465	0.141070537404584	5.32907051820075e-15	0.103770689726461	0.000234636978106509	14	21
ENSG00000234906	APOC2	-7.58638963284549	-0.212276244263546	3.28626015289046e-14	0.047	0.0149658645225021	27	33
ENSG00000249061	AC109492.1	-7.58582139930327	-0.213756312943232	3.30846461338297e-14	0.155844097441181	4.77745020230368e-06	3	4
ENSG00000266903	AC243964.3	7.43639456258599	0.0959716334721788	1.03472785895065e-13	0.302	3.13602077547954e-11	9	9
ENSG00000030582	GRN	-7.25637639284853	-0.246303872347758	3.97681887420731e-13	0.106031016867862	0.000198731937113386	7	7
ENSG00000261218	AC099524.1	6.98809523809524	0.647175609574177	2.78643774720422e-12	0.052	0.0104559732644876	1	1
ENSG00000077454	LRCH4	6.53798336175937	0.131370216802805	6.23538998212325e-11	0.108526275511535	0.000165399126421021	9	11
ENSG00000169592	INO80E	6.36474608087091	0.088597585176148	1.9561308128857e-10	0.11527541796399	0.000100521150067487	9	9
ENSG00000198087	CD2AP	6.34401849955701	0.202389572592344	2.23847829161627e-10	0.215510675027181	4.36772235073869e-08	7	8
ENSG00000103510	KAT8	-6.27615040666489	-0.0802434153834089	3.47058382033083e-10	0.136130089195641	2.12575147081005e-05	7	7
ENSG00000271046	AL512631.1	6.20128928955234	0.197152777296722	5.60024693285754e-10	0.0507557703222655	0.0112008063147205	3	3
ENSG00000166997	CNPY4	-6.16931603021604	-0.356273420347572	6.85860257476634e-10	0.0649330968789612	0.00398266938242767	4	5
ENSG00000158864	NDUFS2	-6.13515568033152	-0.139398719253721	8.50758352655134e-10	0.227486732936669	1.64069878073539e-08	13	13
ENSG00000136485	DCAF7	-6.13384319536795	-0.121543877619402	8.57810711352158e-10	0.0390889021845448	0.0264789296445193	11	12
ENSG00000178226	PRSS36	-6.09374148185211	-0.0832230745297274	1.10301745515073e-09	0.046826026907325	0.0149450219208227	6	6
ENSG00000270761	AL355353.1	-6.01883464376828	-0.137291577292157	1.75677206115665e-09	0.108736903862925	0.00016285358652323	9	9
ENSG00000007255	TRAPPC6A	-5.96197048653728	-0.325460283332433	2.49214160419342e-09	0.0820897311488343	0.00114387938873039	5	6
ENSG00000213413	PVRIG	-5.80458923830739	-0.0669321444890383	6.45239883745319e-09	0.320026020269686	5.11965552068366e-12	13	14
ENSG00000234327	AC012146.1	-5.75304661677943	-0.0879522599839713	8.76493033707959e-09	0.212373281662469	5.63251435982011e-08	13	14
ENSG00000158850	B4GALT3	-5.73768842250694	-0.451520048481625	9.59774748565678e-09	0.0590867660081692	0.00609532414567759	5	5
ENSG00000090238	YPEL3	-5.70736260962241	-0.0782705452441087	1.14740170698013e-08	0.264827819201682	7.07774927937164e-10	4	5
ENSG00000170684	ZNF296	-5.56658599221029	-0.169513281868048	2.59778611955142e-08	0.0831342270962226	0.00106013196876928	7	7
ENSG00000120915	EPHX2	5.39923309165485	0.117454930321925	6.69263728880765e-08	0.368570074883401	4.84767853230353e-14	4	4
ENSG00000103642	LACTB	5.39626535595198	0.120011071859175	6.80422942433978e-08	0.438549618274686	3.06437701989557e-17	2	2
ENSG00000250948	AC091180.4	5.34495718643607	0.628978084696534	9.04384276356751e-08	0.0719626548869892	0.00238902775981967	7	7
ENSG00000238083	LRRC37A2	-5.21261613208203	-0.06177345399813	1.86195931339839e-07	0.522	1.82625312801625e-21	48	59
ENSG00000167840	ZNF232	-5.21074151363523	-0.0830488287041782	1.88087355468269e-07	0.235432989610681	8.50402113643246e-09	10	10
ENSG00000151224	MAT1A	-5.20267797363915	-0.293581170950558	1.9643708748518e-07	0.0819927428461885	0.00115198270844633	8	9
ENSG00000137845	ADAM10	5.2016738296572	0.148002024439669	1.97501623055985e-07	0.046	0.0168925562467449	126	129
ENSG00000275392	AL445493.3	-5.19023711355337	-0.342805645070815	2.1002645400614e-07	0.0926316171367604	0.000530430269520341	6	6
ENSG00000214401	KANSL1-AS1	-5.10904520964042	-0.0835431516195055	3.23790877221342e-07	0.546918523449124	4.62927128262312e-23	11	24
