gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000163818	LZTFL1	-8.60433954205964	-4.3004835709035	0	0.039	0.016922190158376	3	3
ENSG00000214401	KANSL1-AS1	-6.85844800280883	-0.0650351050548163	6.96132040900466e-12	0.505161285214244	6.52469658096739e-24	24	27
ENSG00000108379	WNT3	-6.82933628592125	-0.27206369450705	8.53073167661478e-12	0.0857934160979939	0.000317898374616105	5	5
ENSG00000163823	CCR1	6.21683099150271	0.0941124674667977	5.07295538909602e-10	0.0567697308359553	0.00365953444995105	19	19
ENSG00000129910	CDH15	6.14747384241636	0.245643431466529	7.87266696278266e-10	0.046	0.00874724561153731	20	20
ENSG00000168228	ZCCHC4	5.91860359878685	0.152512935662888	3.24686455499545e-09	0.163703922994622	3.72052649727376e-07	3	4
ENSG00000259803	SLC22A31	5.8163460614357	0.113223841127108	6.01478822304102e-09	0.155818612890688	7.51673958622424e-07	4	4
ENSG00000105397	TYK2	5.75142004428613	0.557837638748801	8.84969320047446e-09	0.0747563560357434	0.000805852187907866	1	1
ENSG00000272501	AL662844.4	5.73110033898956	0.0774558264098132	9.97812166225742e-09	0.286	2.87993899217173e-12	45	45
ENSG00000104388	RAB2A	5.21916650106948	0.112440458293325	1.7973013410888e-07	0.209913215010597	5.37547897055949e-09	11	11
ENSG00000076662	ICAM3	-5.19106819207131	-0.511721957454859	2.09091023606334e-07	0.0289046045024697	0.0395210534344127	8	9
ENSG00000204525	HLA-C	5.14758670894009	0.0424994492583326	2.63859046611969e-07	0.695488109744402	2.87996179850686e-39	40	42
ENSG00000159314	ARHGAP27	5.11431499845429	0.0794672242317681	3.14881522411881e-07	0.301267280829933	6.1232250380692e-13	18	20
ENSG00000142233	NTN5	-4.91828932728808	-0.131893128882207	8.7303808449235e-07	0.041	0.0139921227855068	156	158
ENSG00000172057	ORMDL3	-4.91200683425004	-0.0542795750733829	9.01489099591757e-07	0.473	6.23069553471266e-22	34	35
ENSG00000238083	LRRC37A2	-4.89166435338425	-0.0607220245212974	9.99868504436563e-07	0.373007959985665	2.14442931981693e-16	19	23
ENSG00000236234	AC091132.2	4.74836012169211	0.0958212521593835	2.05072644998694e-06	0.0698807413481071	0.00121445833771542	30	33
ENSG00000011295	TTC19	4.74535977477663	0.0741118403777758	2.08136060364517e-06	0.214506512673527	3.48659201814256e-09	8	8
ENSG00000176681	LRRC37A	-4.73791297340854	-0.195498566610753	2.15930499858352e-06	0.380455731357908	8.93128106593944e-17	1	4
ENSG00000171634	BPTF	4.68968586122402	0.0757622071295575	2.73624797397787e-06	0.216890867346849	2.78236868104778e-09	3	3
ENSG00000112787	FBRSL1	-4.67917491082601	-0.0870990856289478	2.88031652040388e-06	0.162042883087435	4.31653637495378e-07	12	13
ENSG00000186075	ZPBP2	4.66755239631823	0.224904362091302	3.04809033058184e-06	0.062	0.00236629605677729	13	14
ENSG00000267198	AC091132.4	4.64981232861	0.125241830911094	3.32237205880048e-06	0.0316702262348003	0.0310453538946593	4	4
ENSG00000241837	ATP5PO	4.64441687854576	0.109209835462617	3.4103831758614e-06	0.219320753737481	2.20943333967714e-09	12	12
ENSG00000251396	LINC01301	-4.57666103284223	-0.174208533428275	4.72456056832549e-06	0.0563568192165635	0.0037890795740674	2	3
ENSG00000204482	LST1	-4.54390566778717	-0.279402188404386	5.52213776883193e-06	0.032	0.0310987598246657	8	8
ENSG00000138785	INTS12	-4.54013741264901	-0.203523951625716	5.62175777907292e-06	0.0663321321001047	0.00163675319568342	1	1
ENSG00000141027	NCOR1	-4.5040591466724	-0.0745331587447906	6.6667638336515e-06	0.126633730155768	9.71723004315989e-06	7	7
ENSG00000271380	AL451085.2	-4.45398093167182	-0.225485325927564	8.42925898991709e-06	0.0319396289740341	0.0303269705797517	1	1
ENSG00000138780	GSTCD	4.44902116007055	0.151638138590588	8.62625183373211e-06	0.18394423903016	5.96486861892995e-08	9	9
ENSG00000175164	ABO	-4.40462311310077	-0.0834065199699934	1.05967947079399e-05	0.25	1.16836627076263e-10	30	32
ENSG00000228696	ARL17B	-4.40241132690715	-0.0652178499839074	1.07054348987834e-05	0.431894228908741	1.56722588008185e-19	3	11
ENSG00000166529	ZSCAN21	-4.40020247243534	-0.0776605471105692	1.08149919875178e-05	0.16284256257687	4.01865826128864e-07	7	7
ENSG00000188186	LAMTOR4	-4.38450037614371	-0.114627248877804	1.16252282020834e-05	0.138590667101838	3.43223843534288e-06	8	8
ENSG00000231389	HLA-DPA1	-4.37068973508675	-0.131356996411345	1.2385467841769e-05	0.0836736798978427	0.000380174470098269	6	6
ENSG00000182481	KPNA2	-4.23013500295454	-0.0724895851463201	2.33551106259e-05	0.0525282518378056	0.00523295159830505	11	11
ENSG00000204344	STK19	-4.21726167826988	-0.106203352199233	2.472869503789e-05	0.134	5.28096771420662e-06	164	177
ENSG00000272447	AL135925.1	4.21568322370885	0.102020351448453	2.49023112568469e-05	0.204854210200727	8.63718600103517e-09	5	6
ENSG00000166797	CIAO2A	4.08270987005118	0.413134216947758	4.45135817279674e-05	0.152	1.06154381679397e-06	4	4
ENSG00000142166	IFNAR1	-4.07084013544593	-0.105060071380549	4.68438892888834e-05	0.0570460801875524	0.00357532789607733	7	7
ENSG00000214941	ZSWIM7	4.03868758068732	0.396472435188215	5.37510997380419e-05	0.0329022234093978	0.0278970124932042	4	4
ENSG00000244733	AL132656.2	-3.98851282395423	-0.103802142514833	6.64888092429816e-05	0.270428337246104	1.47662174711988e-11	7	7
ENSG00000241839	PLEKHO2	3.98838556629063	0.0843287882769013	6.65244793971453e-05	0.11504973053741	2.63835479341569e-05	15	16
ENSG00000270055	AC127502.2	-3.95798652216957	-0.0752449731670358	7.55842215489633e-05	0.123323912719794	1.29383114158357e-05	7	7
ENSG00000053900	ANAPC4	3.92413046166858	0.0785182269706891	8.70435583057994e-05	0.03930586209198	0.0160769767299804	2	2
ENSG00000073969	NSF	-3.88488090811424	-0.138335167572228	0.000102380061433927	0.139	3.24984118323265e-06	56	64
ENSG00000273102	AP000569.1	-3.87996528820512	-0.122867449926279	0.000104471372994741	0.15453043740889	8.42765917879947e-07	9	9
ENSG00000127616	SMARCA4	3.87413716693239	0.0758220750501459	0.000107003134660832	0.130087715689412	7.20181743548085e-06	24	26
ENSG00000198835	GJC2	-3.87083837015452	-0.0778885673496382	0.000108461691240791	0.0355430728822794	0.0222061980419631	11	12
ENSG00000105376	ICAM5	-3.81909103511495	-0.143953879613358	0.000133944327948443	0.083	0.000391970664476998	10	10
ENSG00000204516	MICB	-3.77316691194129	-0.0636324429767426	0.000161188372168386	0.146494138508179	1.71506577195386e-06	9	9
ENSG00000072818	ACAP1	-3.74928075816551	-0.0889402452445827	0.000177342458107299	0.0878366982750095	0.000267506750316901	1	1
ENSG00000149050	ZNF214	3.74022741293721	0.311362931973983	0.000183853836372094	0.18	8.56127175452038e-08	9	9
ENSG00000173175	ADCY5	-3.73188625762004	-0.0895468626638055	0.00019005131717087	0.0469775058087284	0.00836782477643051	35	35
ENSG00000228060	PABPC4-AS1	-3.72728635956744	-0.143952394846029	0.000193552505495242	0.0616279679330598	0.00243115899487894	9	9
ENSG00000172244	C5orf34	-3.72632440714938	-0.123011474068359	0.00019429231315149	0.0282631357702953	0.0418093154163371	6	6
ENSG00000183682	BMP8A	3.70263668940839	0.139279623888851	0.000213370333379093	0.043	0.0117327760513926	29	29
ENSG00000162877	PM20D1	3.68444423351472	0.0748548788921113	0.000229202198410494	0.0434737499709111	0.011266952770038	8	9
ENSG00000011478	QPCTL	3.67277435396189	0.0483713575774429	0.000239931334016452	0.151460544688594	1.10625055094318e-06	17	17
ENSG00000100601	ALKBH1	3.64467935774737	0.152223581911158	0.000267725374652361	0.111698086196456	3.51687521824858e-05	4	4
ENSG00000104804	TULP2	-3.64041616646659	-0.168760172177303	0.000272197725217582	0.238929812808866	3.35512703055354e-10	1	1
ENSG00000137265	IRF4	3.60291811549738	0.750242945266831	0.000314664676938081	0.123782667873072	1.2435504665276e-05	1	1
ENSG00000188199	NUTM2B	-3.60123772977486	-0.0566998650601608	0.000316705811923779	0.302340503610544	5.46816475117907e-13	26	29
ENSG00000104055	TGM5	-3.57857795088028	-0.0470598093024151	0.000345468833186979	0.263562116575153	2.94804618820562e-11	5	5
ENSG00000221838	AP4M1	-3.57807626169715	-0.0585850576240177	0.000346132468241001	0.343059483161768	6.57619114206843e-15	12	12
ENSG00000087076	HSD17B14	3.54853878250943	0.152265279348572	0.000387374947804497	0.067	0.00160372901095066	44	45
ENSG00000072682	P4HA2	-3.45753630950714	-0.108643564898448	0.000545138775821963	0.0628351173464554	0.00219639771686646	5	5
ENSG00000090621	PABPC4	-3.43352354614939	-0.269131317515203	0.000595790453668199	0.04433473310172	0.0104716395141163	2	2
ENSG00000161405	IKZF3	3.43315807531874	0.0589508130033119	0.000596594161567765	0.110886714375886	3.76990913500902e-05	10	10
ENSG00000079335	CDC14A	-3.43250008054637	-0.123986364274188	0.000598043704212792	0.0903516090787542	0.000216267306733132	5	5
ENSG00000125743	SNRPD2	-3.42154606803063	-0.0892695536800042	0.000622661753792109	0.133928422615183	5.15636208522717e-06	11	11
ENSG00000137767	SQOR	3.42000021092093	0.145797110182233	0.000626210871629507	0.132991892070572	5.59457861887246e-06	5	5
ENSG00000157326	DHRS4	3.41421631469768	0.129883383100928	0.000639657681736239	0.0501554748533814	0.00639429724147008	11	12
ENSG00000073605	GSDMB	-3.3931896762474	-0.0388796765739668	0.000690837844028014	0.278302893928776	6.63176723807535e-12	21	22
ENSG00000130164	LDLR	3.38638961967106	0.278536893153981	0.000708187594808729	0.0507574789174427	0.00607708623279644	4	4
ENSG00000076513	ANKRD13A	3.38017805748532	0.985839962007587	0.000724388844464574	0.038	0.0182596830635775	2	2
ENSG00000176732	PFN4	-3.37928253606109	-0.105550244549229	0.000726752777333139	0.152318091284364	1.02537884668359e-06	4	4
ENSG00000163820	FYCO1	3.37449951853118	0.0634855436165995	0.000739500453169395	0.119057166586701	1.86935838059542e-05	27	27
