gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000203710	CR1	12.2752755802489	0.255001837473106	0	0.166102005944862	1.31939398996826e-09	3	3
ENSG00000234906	APOC2	10.6533504236193	0.297256436110449	0	0.12745922778559	1.48340290705853e-07	5	6
ENSG00000130208	APOC1	8.94468435435434	0.422549144635665	0	0.0217447683948115	0.0348618385909704	9	14
ENSG00000007255	TRAPPC6A	-7.94686498933364	-0.237578549435111	1.99840144432528e-15	0.0781980851733638	4.89364231748136e-05	17	17
ENSG00000159640	ACE	-7.76342672023535	-0.302119678582274	8.21565038222616e-15	0.120265479131076	3.50716748205013e-07	7	8
ENSG00000030582	GRN	-7.52699479851388	-0.20256509573393	5.19584375524573e-14	0.150983431532579	8.55042028751139e-09	10	11
ENSG00000204290	BTNL2	7.46744963134569	0.191913202120654	8.17124146124115e-14	0.117990778471651	4.59878720036846e-07	12	14
ENSG00000266903	AC243964.3	7.44116289875096	0.0732408950320856	9.96980276113391e-14	0.512120622858811	1.79758845099038e-33	15	16
ENSG00000186567	CEACAM19	7.22340591426986	0.0964900220966939	5.06927833043846e-13	0.233913814883249	2.04467989461936e-13	17	17
ENSG00000270761	AL355353.1	-6.89454426480857	-0.350550094640037	5.40367750545556e-12	0.0821826517045114	3.08271351046204e-05	7	7
ENSG00000158869	FCER1G	-6.8339312216243	-0.218989176334668	8.26183566005056e-12	0.0453216843981085	0.00217906053835086	10	10
ENSG00000213413	PVRIG	-6.79783613290661	-0.094855900423005	1.06201714089593e-11	0.225214254589487	6.55067380953813e-13	6	6
ENSG00000250616	AC012645.1	6.50969321902752	0.422464813021625	7.530442935888e-11	0.0246962210099759	0.0244304043229354	2	3
ENSG00000166997	CNPY4	-6.42020339276256	-0.267615287496927	1.36092470626181e-10	0.0453665943632423	0.00216776742725308	5	7
ENSG00000221838	AP4M1	-6.39612730400358	-0.286100983956149	1.59367186114423e-10	0.055406679437994	0.000680109954906411	2	2
ENSG00000158864	NDUFS2	-6.33341993836201	-0.132701287078219	2.39785746813936e-10	0.102096551436491	3.01289474134674e-06	18	18
ENSG00000103510	KAT8	-6.29445110401506	-0.0752814921020617	3.0848945620221e-10	0.364205724307451	9.99992158360861e-22	7	7
ENSG00000160862	AZGP1	-6.25331689465179	-0.146430800749355	4.01825683837842e-10	0.0912130824456105	1.07771407769504e-05	9	9
ENSG00000108219	TSPAN14	6.09955783142529	0.193691619469721	1.06362274543415e-09	0.0434191459222573	0.00271598162658495	7	7
ENSG00000234327	AC012146.1	-5.95871935671244	-0.0871591091754689	2.54222243256663e-09	0.0985044683410404	4.59331056730638e-06	9	9
ENSG00000169592	INO80E	5.90908315662279	0.0722934537792837	3.44017014874964e-09	0.210813603298741	4.38364517973088e-12	23	24
ENSG00000156170	NDUFAF6	5.77201800055802	0.118945702014354	7.83277465110643e-09	0.12007947184195	3.58581999815197e-07	22	22
ENSG00000238083	LRRC37A2	-5.76291486883448	-0.0469927497649032	8.26735013781388e-09	0.750815009267088	3.59882895508517e-63	59	63
ENSG00000090238	YPEL3	-5.75997364170328	-0.0872134849865771	8.41270719753595e-09	0.151925979676505	7.61638735252284e-09	3	4
ENSG00000176681	LRRC37A	-5.67242316395226	-0.0565822525136873	1.40791673874929e-08	0.664468415093029	4.98078316792082e-50	20	23
ENSG00000223501	VPS52	5.67105297379012	0.231325222638245	1.41922502638892e-08	0.0273610004499727	0.0177783275942287	9	9
ENSG00000179965	ZNF771	5.63970560033678	1.06058733741537	1.70341150074194e-08	0.04	0.00399790966350177	14	16
ENSG00000130270	ATP8B3	5.60148770076629	0.155341509175386	2.12519870590455e-08	0.101	3.24315460149377e-06	45	46
ENSG00000108556	CHRNE	5.51514782718151	0.0730246015917267	3.48486912660206e-08	0.303292179334109	1.17932259812558e-17	13	13
ENSG00000214401	KANSL1-AS1	-5.50662616582857	-0.0491120648410971	3.65775849608951e-08	0.674248444792253	2.45589119443423e-51	23	29
ENSG00000066923	STAG3	-5.50531000401374	-0.0888007840110287	3.685192107028e-08	0.291003305425214	7.09704601837506e-17	20	23
ENSG00000073008	PVR	-5.40924434257864	-0.0944234085866486	6.32912298126342e-08	0.163256435732298	1.87971499634181e-09	27	29
ENSG00000253878	AC087752.3	5.39981261696317	0.716128430805796	6.67105397589296e-08	0.028	0.015756590992623	11	11
ENSG00000146648	EGFR	5.39837988774039	0.191994561479125	6.72453639438686e-08	0.2715675791968	1.14214007619834e-15	5	5
ENSG00000174939	ASPHD1	-5.32408787375558	-0.436622128802913	1.0146085327456e-07	0.027	0.0188295913095676	7	7
