gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000203710	CR1	12.2546387266832	0.249161217422394	0	0.120730045292717	4.81732797530728e-06	5	5
ENSG00000267467	APOC4	10.657758734625	0.328906353128526	0	0.1	3.83484065879684e-05	24	27
ENSG00000138613	APH1B	9.1	0.596944989120358	0	0.0303202022725905	0.0252985208369877	1	1
ENSG00000186567	CEACAM19	8.85780910044724	0.202074690746196	0	0.228712769704687	8.22588553219973e-11	2	2
ENSG00000159640	ACE	-8.56840874662633	-0.795411578177557	0	0.047309527758343	0.00501025429398448	3	3
ENSG00000120885	CLU	-8.45159926723298	-0.447168850118441	0	0.0306313250586354	0.0245481372022662	7	8
ENSG00000266903	AC243964.3	7.61981481914319	0.0840512145507902	2.53130849614536e-14	0.435408662073424	5.47924260948022e-22	3	3
ENSG00000204290	BTNL2	7.02247636262371	0.160492036201712	2.17958984194411e-12	0.170184103050851	3.67047919633839e-08	16	21
ENSG00000198087	CD2AP	6.90481291406423	0.341793709564656	5.02686781089778e-12	0.0353959718146222	0.0155223496230446	9	9
ENSG00000030582	GRN	-6.85945633276223	-0.437220433928982	6.91224855131622e-12	0.031	0.0241840191962044	2	2
ENSG00000158869	FCER1G	-6.79675482862507	-0.25728703518631	1.07001074667323e-11	0.031482164306328	0.0226105621240321	7	7
ENSG00000213413	PVRIG	-6.72858744554349	-0.171878141483477	1.71318514929908e-11	0.300643232862239	2.47275974341096e-14	7	8
ENSG00000221838	AP4M1	-6.40664897059348	-0.367230839209656	1.48752787865192e-10	0.0613241752643462	0.00134185575693237	3	3
ENSG00000158864	NDUFS2	-6.39948708872592	-0.115581881682779	1.55899737563914e-10	0.142397997014499	5.84240602034293e-07	22	22
ENSG00000103510	KAT8	-6.28410883535951	-0.0750264078760765	3.29739568982745e-10	0.211674170415381	5.06473392141371e-10	10	10
ENSG00000178226	PRSS36	-6.28170589937637	-0.0891000168736321	3.34877903185316e-10	0.215981008713578	3.20999604037718e-10	3	3
ENSG00000245975	AC090515.2	-6.1660919242975	-0.431993757853846	6.99984070706705e-10	0.121	5.25915671811111e-06	11	11
ENSG00000066923	STAG3	-6.14008004478889	-0.10799232776432	8.24799117893349e-10	0.272779020801166	6.25646394843441e-13	14	15
ENSG00000238083	LRRC37A2	-6.09402666569619	-0.0565441701890187	1.10105302653096e-09	0.617228852691945	8.08879699803249e-36	20	22
ENSG00000169592	INO80E	6.06885259818153	0.0992068117376367	1.28827326584258e-09	0.116039034752043	7.56859713649008e-06	8	9
ENSG00000149926	TLCD3B	6.06744403733573	0.640629701046437	1.29961885697583e-09	0.027	0.0344871241886323	6	6
ENSG00000178209	PLEC	-5.84646064130687	-0.129190739120233	5.02142305514042e-09	0.11086077660208	1.24393034781765e-05	26	29
ENSG00000176681	LRRC37A	-5.75403863983759	-0.0602860911216414	8.71362271226417e-09	0.545917371102091	9.57078003765417e-30	19	22
ENSG00000090238	YPEL3	-5.70644255271605	-0.0768461826450772	1.15361817876192e-08	0.0844450985570693	0.000152835724572143	4	6
ENSG00000125741	OPA3	-5.67080520642927	-0.227830550124589	1.42127924984692e-08	0.086	0.000143694700594932	67	74
ENSG00000234327	AC012146.1	-5.65198943715944	-0.0839381944553044	1.58601338728914e-08	0.240579179870816	2.26947843551003e-11	13	14
ENSG00000106261	ZKSCAN1	5.6477528899813	1.13122451298546	1.62558608796104e-08	0.106	2.09934503340962e-05	10	11
ENSG00000214401	KANSL1-AS1	-5.45318005151309	-0.0507340721272378	4.94769267778139e-08	0.59759806080874	4.84190200547954e-34	25	29
ENSG00000161929	SCIMP	5.37557737921409	0.122969950771415	7.63376584167474e-08	0.0859658529376164	0.000132414729033499	9	10
ENSG00000110079	MS4A4A	5.33399344072606	0.268308851297263	9.607599493755e-08	0.0427468377211586	0.00771134942151234	5	6
ENSG00000279685	MAPT-IT1	-5.32765012636311	-0.264423305381449	9.94915367868998e-08	0.0435454331826731	0.00714981872120748	8	9
ENSG00000012061	ERCC1	-5.31923126005627	-0.233641894434961	1.04206611339919e-07	0.025	0.045274571224901	58	67
ENSG00000166997	CNPY4	-5.3046085469812	-0.251403313744943	1.12915037986383e-07	0.106155428084184	1.95061915637994e-05	6	7
ENSG00000108556	CHRNE	5.25816139187302	0.0774932554974168	1.4550279892056e-07	0.212399833840668	4.69089116869462e-10	5	5
ENSG00000099817	POLR2E	5.25297124981112	0.0867572867452455	1.49664906023972e-07	0.219560093830678	2.19364260393764e-10	12	14
ENSG00000170684	ZNF296	-5.14315818778028	-0.181775172739543	2.7015795867058e-07	0.141	7.38659550619272e-07	13	15
ENSG00000139629	GALNT6	-5.10436654033847	-0.132972058084475	3.31904409733852e-07	0.386508911777503	5.05697015281283e-19	12	13
