gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000187244	BCAM	11.4264854563692	0.4795929156307	0	0.0963063292020645	2.92079343396218e-05	7	8
ENSG00000138613	APH1B	8.2386111496933	0.211853378556097	2.22044604925031e-16	0.0481326876402141	0.00353297397628038	8	8
ENSG00000159640	ACE	-7.82409996645181	-0.297263789870959	5.10702591327572e-15	0.132094924908569	7.66795133373924e-07	7	8
ENSG00000266903	AC243964.3	7.62561015712079	0.0846582903385526	2.42028619368284e-14	0.387700826467572	3.60216089946306e-20	3	3
ENSG00000186567	CEACAM19	7.53499233974853	0.110855282988329	4.88498130835069e-14	0.339	3.76392512290459e-17	57	66
ENSG00000030582	GRN	-7.23160599275579	-0.235219410551725	4.77395900588817e-13	0.0396749490185496	0.0082264848371767	5	5
ENSG00000270761	AL355353.1	-6.91422143277496	-0.138996380579506	4.70445904454664e-12	0.347031863008389	9.90170969145705e-18	6	6
ENSG00000136717	BIN1	-6.90810220917248	-0.0951074021639996	4.91184870554662e-12	0.3453826880979	1.2344474635846e-17	12	12
ENSG00000106351	AGFG2	6.88499703616926	0.147237148532159	5.77893288777886e-12	0.0365598041289098	0.0112536088904079	9	9
ENSG00000213413	PVRIG	-6.58138716382771	-0.077187701309664	4.66078287075788e-11	0.321735682229535	2.75084478774786e-16	6	7
ENSG00000235077	AC073842.1	-6.14523401490043	-0.157013896288282	7.98457078232673e-10	0.0843130044514441	9.69955294602227e-05	9	11
ENSG00000169592	INO80E	6.12559245477228	0.0796551632224378	9.03467967106053e-10	0.317614988608555	4.67422557542646e-16	12	12
ENSG00000178226	PRSS36	-6.10997055295753	-0.0824735619091181	9.96495330696234e-10	0.276437619111013	7.94129420090716e-14	6	6
ENSG00000234327	AC012146.1	-6.09692391122138	-0.195165970615177	1.0812895023804e-09	0.0581759497588185	0.00130227955675587	5	5
ENSG00000239521	CASTOR3	-6.0764778887287	-0.290181513054137	1.22850929429319e-09	0.053	0.00214363460531325	36	41
ENSG00000158864	NDUFS2	-6.04819910494304	-0.163408755287931	1.46473877471465e-09	0.17158497989679	1.20848367350835e-08	12	12
ENSG00000238083	LRRC37A2	-5.97853304580841	-0.0644553952280372	2.25155938338162e-09	0.672031628804087	9.70189249141452e-44	20	26
ENSG00000204290	BTNL2	5.92901962942375	0.2297045951699	3.04748648538578e-09	0.065	0.000684361492662267	111	138
