gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000267467	APOC4	14.5917003908849	1.22096512089253	0	0.0287606692083964	0.027042384398542	3	4
ENSG00000203710	CR1	12.1478971592215	1.10524253146238	0	0.026	0.0358322119984991	6	7
ENSG00000125743	SNRPD2	8.15014643122927	0.111871656839686	4.44089209850063e-16	0.048522885515401	0.00389628146607	86	91
ENSG00000186567	CEACAM19	7.71081135311635	0.114621700805694	1.24344978758018e-14	0.277040655483851	1.68461907178012e-13	17	17
ENSG00000204290	BTNL2	7.63762901042861	0.237617961201654	2.22044604925031e-14	0.189260637307664	3.06055704923598e-09	15	23
ENSG00000266903	AC243964.3	7.50536551541103	0.0788643587196482	6.12843109593086e-14	0.327368659366494	3.62489907174797e-16	8	9
ENSG00000030582	GRN	-7.21765761952798	-0.235399055919369	5.28910248931425e-13	0.026875911237328	0.032662810170355	5	5
ENSG00000270761	AL355353.1	-6.88120251039861	-0.472604776358649	5.93503024504116e-12	0.0579190230347017	0.00157057876855829	3	3
ENSG00000232748	AC135050.1	6.82769925373694	0.225484723395532	8.62865334738672e-12	0.0274092206531262	0.030959811050775	7	8
ENSG00000158869	FCER1G	-6.78682421072536	-0.263185732317446	1.14628306846498e-11	0.07571019558108	0.00028181845795278	6	6
ENSG00000213413	PVRIG	-6.76257150388258	-0.0926020382890567	1.3556267219883e-11	0.217402528020938	1.47393000614443e-10	7	7
ENSG00000073008	PVR	-6.44126451016106	-0.147757326584161	1.18482113009577e-10	0.15782348890158	8.14153777098093e-08	11	11
ENSG00000237541	HLA-DQA2	-6.36328495363718	-0.127552445641661	1.97483807085064e-10	0.596	1.10440526704519e-34	37	85
ENSG00000158864	NDUFS2	-6.31833825178264	-0.119023985033035	2.64390731530284e-10	0.0731175639817888	0.000362089375271175	20	20
ENSG00000103510	KAT8	-6.28336538877618	-0.0760067104490763	3.31321192703626e-10	0.225120465673669	6.30538461588793e-11	9	9
ENSG00000178226	PRSS36	-6.19795315120721	-0.0865804716111191	5.72021541245249e-10	0.253637751843167	2.55319147523637e-12	4	4
ENSG00000250616	AC012645.1	6.19663990470995	0.293444523284238	5.76812597685716e-10	0.09	7.73425366111151e-05	9	10
ENSG00000238083	LRRC37A2	-6.12838696800914	-0.0562460392772312	8.87744544542102e-10	0.676612369155536	4.88677700414067e-43	23	25
ENSG00000090238	YPEL3	-6.02865588493679	-0.213678598382885	1.65328883916516e-09	0.0375646332930427	0.0113262906492406	4	5
ENSG00000166924	NYAP1	-6.01776283968585	-1.18444957789655	1.76844028310086e-09	0.0303021598786998	0.0231906850880283	3	3
ENSG00000066923	STAG3	-6.01075188134703	-0.11151043557671	1.84664861180295e-09	0.25561919243517	2.03464203255364e-12	9	10
ENSG00000255197	AC090559.1	-6.00855390335225	-0.266733319410042	1.87185378308641e-09	0.0572386051233084	0.00167723349258739	10	10
ENSG00000169592	INO80E	5.98897831797129	0.0942756320847853	2.1116330906068e-09	0.106250927843063	1.43960318317802e-05	12	13
ENSG00000176681	LRRC37A	-5.77573495501764	-0.0577788103465822	7.66179009126233e-09	0.646019943211709	9.91621837836954e-40	25	29
ENSG00000234327	AC012146.1	-5.74379014742104	-0.0827195846099505	9.25805121454459e-09	0.276885800217151	1.71566117696247e-13	14	15
ENSG00000214401	KANSL1-AS1	-5.69153190208738	-0.0551268689196408	1.25904626724349e-08	0.5523532829649	3.92697372112932e-31	12	15
ENSG00000166128	RAB8B	-5.61020738021386	-0.847476794491103	2.02084302625138e-08	0.032	0.0198629870632381	12	12
ENSG00000146648	EGFR	5.57057874247598	0.248570039172621	2.53894534285592e-08	0.0834745805696258	0.000132872306102983	5	5
ENSG00000260163	AC012508.1	5.47267012990376	0.155392442725352	4.43304830621827e-08	0.115968189515099	5.52193552502569e-06	11	13
ENSG00000279685	MAPT-IT1	-5.38885932770182	-0.253100477905863	7.09062775161584e-08	0.0889224434659698	7.82858199929805e-05	8	9
ENSG00000108556	CHRNE	5.27865085313612	0.0742820796827995	1.30138503751098e-07	0.254171308523573	2.40191739293603e-12	7	7
ENSG00000264589	MAPT-AS1	5.1984144380739	0.119035327978191	2.00995603938381e-07	0.282767344733166	8.55287324340773e-14	8	9
ENSG00000130270	ATP8B3	5.19758024442082	0.243609131560521	2.01899394314253e-07	0.0890523558041185	7.73030966261601e-05	2	2
ENSG00000239521	CASTOR3	-5.14381544928878	-0.179467134121178	2.69214008641327e-07	0.0787730207231237	0.00020954247319474	9	9
ENSG00000103642	LACTB	5.06145272320864	0.0824946191786016	4.16073919096149e-07	0.228517151419968	4.3286137036487e-11	11	12
ENSG00000070756	PABPC1	5.0210461620308	1.25118777067256	5.13908058330514e-07	0.198	1.358578472547e-09	3	7
ENSG00000132207	SLX1A	-4.96921890347327	-0.118108489475822	6.72231454279526e-07	0.0325663424569095	0.0185258070809291	13	15
ENSG00000160862	AZGP1	-4.9581175808875	-0.19405888505503	7.11794821750544e-07	0.033	0.0172463672149313	17	17
ENSG00000122378	PRXL2A	-4.94646263644038	-0.435639749774368	7.55742253888414e-07	0.025	0.0391720287990488	15	15
ENSG00000174939	ASPHD1	-4.94433358440426	-0.391408942882571	7.6404776461203e-07	0.110498220384186	9.47788910889027e-06	3	3
ENSG00000149929	HIRIP3	4.86319635966442	0.118123702752472	1.15505158526652e-06	0.0539836900641456	0.00229697270984758	7	8
ENSG00000237640	AC004522.3	-4.85366487892465	-0.155192166745495	1.21200483849115e-06	0.059942108657509	0.00129193031426065	5	5
ENSG00000196126	HLA-DRB1	4.82433599737524	0.102455258208014	1.40470445364471e-06	0.25	4.32353006453745e-12	70	127
ENSG00000161929	SCIMP	4.81917608008069	0.131292368109782	1.4415228930531e-06	0.0259244267998785	0.035945921289637	6	6
ENSG00000185829	ARL17A	-4.78008471753936	-0.0826642271330666	1.75221343234888e-06	0.43316807221834	1.80796804714712e-22	20	22
ENSG00000145217	SLC26A1	-4.77544262645595	-0.0722952379646303	1.79312410120147e-06	0.133673106232869	9.45494365363522e-07	6	6
ENSG00000271855	AC073195.1	4.7641333544383	0.134226748214056	1.89667044714348e-06	0.181558692627185	6.90619822106721e-09	13	14
ENSG00000166889	PATL1	4.73941403308496	0.107196305301276	2.14337145365562e-06	0.0369578094878031	0.0120207120106318	23	25
ENSG00000154127	UBASH3B	4.70498356781803	0.252018794573278	2.5388640261248e-06	0.085	0.00012377008580975	49	50
ENSG00000103356	EARS2	4.68515015295799	0.0807874828679957	2.79754765553086e-06	0.16	7.3845521569916e-08	10	10
ENSG00000167840	ZNF232	-4.64513297191519	-0.0556997457512107	3.3985748144616e-06	0.269625547236777	4.02179227901516e-13	50	54
ENSG00000172354	GNB2	4.61160411606733	0.523228581550875	3.99573434117784e-06	0.073	0.000389798982403969	19	20
ENSG00000177238	TRIM72	4.58641499384754	0.16710068034673	4.50921874861621e-06	0.0304309309171137	0.0228955830027254	16	19
ENSG00000106290	TAF6	4.5827476325097	0.207837761819537	4.58905757549921e-06	0.0240958209629958	0.0432522817370725	5	6
ENSG00000225190	PLEKHM1	-4.56810307995949	-0.101030789527434	4.92157995424236e-06	0.103694895901219	1.85024704121444e-05	11	14
ENSG00000109805	NCAPG	4.54901401144897	0.605453717320862	5.38978547348634e-06	0.029912744719238	0.0241070846463626	6	6
