gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000260917	AL158212.3	-14.585558362601	-2.9960742430266	0	0.0194174180257834	0.00020392826582126	6	13
ENSG00000153814	JAZF1	-13.5330832712411	-0.463969324494973	0	0.116	1.57082601699609e-20	5	5
ENSG00000109501	WFS1	10.1738541486391	0.243504872028972	0	0.126638585126125	1.67055604567583e-22	10	26
ENSG00000152518	ZFP36L2	9.48264210059296	0.879099021189725	0	0.0156484838737399	0.000865250541472752	8	20
ENSG00000029534	ANK1	8.50293099710046	0.569534008250733	0	0.084	4.5998678636802e-15	9	12
ENSG00000279873	LINC01126	-8.19673500676063	-0.282789886201315	2.22044604925031e-16	0.0301973236408361	3.40929153416127e-06	11	15
ENSG00000132170	PPARG	-8.07635049522862	-0.647764404626236	6.66133814775094e-16	0.0238175189699367	3.82075297165392e-05	8	14
ENSG00000231852	CYP21A2	7.99429437489757	0.180235278540579	1.33226762955019e-15	0.0459703081981828	8.72173403569313e-09	8	22
ENSG00000166278	C2	7.78345463439859	0.601119064747258	7.105427357601e-15	0.01451940128255	0.00133804603172619	4	11
ENSG00000138160	KIF11	7.77391491149374	0.839421043616577	7.54951656745106e-15	0.0120232718874719	0.00353269952736382	5	11
ENSG00000119912	IDE	-7.69908732757273	-0.974078572497068	1.37667655053519e-14	0.0251050484072249	2.34428019852679e-05	7	15
ENSG00000237541	HLA-DQA2	7.55874725535402	2.38248518271767	4.06341627012807e-14	0.679	3.31510019640322e-175	2	85
ENSG00000159210	SNF8	7.19148216337788	0.374031293704339	6.4082072981364e-13	0.0201651451982654	0.000153304048291897	3	5
ENSG00000234936	AC010883.1	-7.16210111994682	-0.24387669806702	7.94475596421762e-13	0.0164209364967	0.000642701172328319	18	28
ENSG00000074755	ZZEF1	7.14180919687327	0.247626117379102	9.2104102122903e-13	0.0676284119444088	2.23960137547044e-12	6	11
ENSG00000147883	CDKN2B	-7.07335731560018	-0.979045838287401	1.51234580414439e-12	0.02	0.000144149889781621	14	16
ENSG00000129159	KCNC1	7.05455412392474	0.615707392140156	1.73150382920539e-12	0.0419464884047571	4.00668118922204e-08	5	11
ENSG00000090621	PABPC4	-6.94988097420518	-0.555332358272193	3.65596442009064e-12	0.073	2.93438348176369e-13	17	21
ENSG00000159199	ATP5MC1	6.83105448212881	0.158494494222674	8.42925729216404e-12	0.147	4.92553954862671e-26	31	37
ENSG00000011523	CEP68	6.77125011152765	0.154915937881554	1.27673427385844e-11	0.199	1.08407508649598e-35	11	14
ENSG00000183049	CAMK1D	6.60886187672686	0.942367042497972	3.87285759018141e-11	0.019	0.000237445067911988	8	8
ENSG00000157823	AP3S2	6.40102576893484	0.139627530297701	1.54336543545242e-10	0.0820822201094208	8.34026041891575e-15	4	11
ENSG00000159202	UBE2Z	6.31825852079543	0.136856184674124	2.64527288962313e-10	0.0956253992142849	4.13713042922646e-17	11	17
ENSG00000234336	JAZF1-AS1	-6.17026688512667	-0.108527145885617	6.81748213438027e-10	0.134468020200322	6.81513529308286e-24	20	35
ENSG00000127603	MACF1	6.10051123981401	1.00967102835712	1.05729736077365e-09	0.017	0.000576365402167185	13	15
ENSG00000230510	PPP5D1	-6.08018489711193	-0.850046998127909	1.20044041374001e-09	0.0218283893180508	8.13619980547508e-05	3	28
ENSG00000109332	UBE2D3	6.06631490757358	0.244874741808672	1.30878397008871e-09	0.0674379620442881	2.40980882838635e-12	3	6
ENSG00000234127	TRIM26	6.03994396985233	8.07568497266669	1.54167745236578e-09	0.102	3.89949765171085e-18	2	116
ENSG00000095485	CWF19L1	-6.03623199543797	-0.0537684814663492	1.57754409535471e-09	0.410415281492756	7.99424389852665e-83	11	16
ENSG00000157152	SYN2	-6.03443749644427	-0.0958573662261019	1.59517354880734e-09	0.153874574809408	2.17834731658386e-27	8	10
ENSG00000206344	HCG27	6.02560290266974	1.11887907237147	1.68480385198677e-09	0.237212510363089	2.48043746561157e-43	2	24
ENSG00000157837	SPPL3	-5.98560357939089	-0.114100201566839	2.15588880081441e-09	0.0385249476590621	1.46258763586472e-07	16	18
ENSG00000170855	TRIAP1	-5.87770344961413	-0.297744031409576	4.15997281066893e-09	0.0156832468537895	0.000853736736104163	13	16
ENSG00000234072	AC074117.1	5.80248216432989	0.717715087895614	6.5340346466769e-09	0.011	0.00621701082431137	6	9
ENSG00000242498	ARPIN	5.73090396797468	0.384171678274501	9.98968152643442e-09	0.100802122495444	5.34559839447352e-18	4	20
ENSG00000197361	FBXL22	-5.71699095480872	-0.181919860268119	1.08426885248036e-08	0.0925019671309318	1.41503999915668e-16	8	12
ENSG00000033627	ATP6V0A1	5.69758887757244	0.544359255739441	1.21513639150805e-08	0.0151064836687686	0.00106643721199225	6	17
ENSG00000152804	HHEX	-5.66126477591553	-0.289488392322098	1.50261372233729e-08	0.0126843528868812	0.00272871708467405	6	12
ENSG00000266265	KLF14	5.65401097845683	1.67831594088415	1.56746191581902e-08	0.0356194540100776	4.38839251664286e-07	7	13
ENSG00000158669	GPAT4	5.61367594809012	0.449746208464949	1.9807299800334e-08	0.021755658740286	8.36448381721406e-05	8	12
ENSG00000244731	C4A	-5.5954572637382	-0.0642205526966753	2.2004104760498e-08	0.194853936910133	4.99487108071988e-35	7	24
ENSG00000145354	CISD2	5.58835789947703	0.239522988305124	2.29226839731922e-08	0.0142780630342327	0.00146905750580605	4	6
ENSG00000129933	MAU2	-5.57649875290607	-0.0909028479007529	2.45407671961573e-08	0.167227011385091	7.73942701439937e-30	8	15
ENSG00000157992	KRTCAP3	5.50057398701405	0.126914821775848	3.78556859192969e-08	0.0658602731326038	4.41906118089693e-12	7	12
ENSG00000234745	HLA-B	5.48979591836735	31.2276536896162	4.02398416810001e-08	0.141300536413056	4.08663363593132e-25	1	24
ENSG00000163933	RFT1	-5.47249351771673	-0.0572404904344628	4.43746996925398e-08	0.21923177699847	9.40098582975599e-40	18	27
ENSG00000118520	ARG1	-5.45523979432693	-0.448700186026392	4.89068006093163e-08	0.011	0.00537649108556139	3	4
ENSG00000259248	USP3-AS1	-5.44063535884009	-0.347093354851504	5.3090883023188e-08	0.034120996778281	7.73293693357115e-07	4	5
ENSG00000170703	TTLL6	-5.43036081930764	-0.133539506716208	5.62402264758788e-08	0.0459379905440616	8.82928840302611e-09	7	7
ENSG00000123080	CDKN2C	5.38652033891775	0.466222596392581	7.18348038830641e-08	0.0478673737103928	4.24623932071383e-09	5	7
ENSG00000205238	SPDYE2	5.31702453042402	0.395845400048075	1.0547785311843e-07	0.0844892350596328	3.26367565224302e-15	6	24
ENSG00000188211	NCR3LG1	5.30709972720932	0.235669751081292	1.11383245293695e-07	0.0183955356905528	0.000301381607323445	3	4
ENSG00000051825	MPHOSPH9	-5.2915522151425	-0.399732021866733	1.21282552001389e-07	0.032	1.98240464275086e-06	17	33
ENSG00000124783	SSR1	-5.28327526286785	-0.157345299350733	1.26894505791952e-07	0.0815392771793852	1.03031572045251e-14	13	29
ENSG00000152219	ARL14EP	-5.25359396118667	-0.0940320469103425	1.49159524509557e-07	0.0186670431059563	0.000271650790774735	11	16
ENSG00000121101	TEX14	5.24705304017625	0.122559997753082	1.54551415221249e-07	0.096480581335123	2.95253253380576e-17	7	7
ENSG00000135124	P2RX4	5.19772328288433	0.109589477016448	2.0174414361307e-07	0.0780329346101842	4.02435854641581e-14	7	16
ENSG00000115241	PPM1G	-5.16982552669332	-0.168361673035005	2.34312649061152e-07	0.0395222043187285	1.00294189792413e-07	6	8
ENSG00000101421	CHMP4B	-5.15402457378158	-0.46876464029858	2.5495451039248e-07	0.048	4.48911212715464e-09	6	7
ENSG00000149084	HSD17B12	-5.10537881805155	-0.0421470010492924	3.30132495118818e-07	0.392243028883705	3.57450544130755e-78	15	29
ENSG00000165609	NUDT5	-5.09614727174391	-0.195227033267461	3.46635505188431e-07	0.0448064863199627	1.35594125622453e-08	2	3
ENSG00000168610	STAT3	-5.09013931575803	-0.147856845601078	3.57800539863007e-07	0.120741108562159	1.82727793635164e-21	10	21
ENSG00000187122	SLIT1	5.05623693600879	0.10125457170599	4.27610023168157e-07	0.0971706886157458	2.24844217622773e-17	10	17
ENSG00000160796	NBEAL2	-5.02476527825459	-0.140395646817155	5.04048629057507e-07	0.087	1.59791309476991e-15	45	65
ENSG00000037042	TUBG2	-5.01646626884826	-0.107095397881856	5.26305114600945e-07	0.0935195181730882	9.48318449667669e-17	2	2
ENSG00000269918	AF131215.6	5.01268290219121	0.290542010130743	5.36763130387641e-07	0.048483061616661	3.36115375990188e-09	6	9
ENSG00000198169	ZNF251	5.00922108964095	0.359257037826396	5.46507635812432e-07	0.021	0.000112505223590969	4	9
ENSG00000227467	LINC01537	5.00606890204553	0.500058098125372	5.55528784529358e-07	0.0250592680344967	2.38533074987106e-05	6	15
ENSG00000140382	HMG20A	4.99797118583068	0.147460747901633	5.79366395969672e-07	0.0357781262765444	4.13286166773184e-07	7	17
ENSG00000161016	RPL8	-4.9909835767212	-0.177777363892338	6.0072605845285e-07	0.341409489464289	7.29168763461023e-66	4	27
ENSG00000283375	AC087521.4	-4.98274623407645	-0.0474535629235899	6.26881406784463e-07	0.260782118087896	3.76739669033941e-48	21	36
ENSG00000258053	AC025575.2	4.98205387576396	0.275963792376054	6.29129118800975e-07	0.137	2.9589013878361e-24	7	11
ENSG00000168394	TAP1	-4.97368231998596	-0.236311229610689	6.56929312503607e-07	0.0439064678820935	1.90710406374324e-08	5	15
ENSG00000092445	TYRO3	4.95929831755821	0.395440728743065	7.07482541217885e-07	0.012495344810923	0.00293753527183743	5	5
ENSG00000198909	MAP3K3	-4.95080182154324	-0.0938763531211008	7.39083368506144e-07	0.0560587876220507	1.88145899447262e-10	8	11
ENSG00000246250	AC087521.2	-4.94688699124698	-0.114967005750458	7.54097257527064e-07	0.0236246641592885	4.11098442497253e-05	5	6
ENSG00000260233	SSSCA1-AS1	4.87006721366938	0.117004889660722	1.11560293802881e-06	0.101843348683606	3.53755608749778e-18	3	4
ENSG00000141452	RMC1	-4.85896069346338	-0.135704024397871	1.180035557935e-06	0.0849433064125254	2.73363083618985e-15	7	9
ENSG00000004534	RBM6	-4.85610997850811	-0.069377573660641	1.19714228730139e-06	0.303749349045626	2.44815680023395e-57	7	20
ENSG00000130921	C12orf65	4.83171086276057	0.146923445063822	1.3536474721132e-06	0.0132789637168255	0.00216472452031658	8	16
ENSG00000134363	FST	-4.82889417061929	-0.537463990422046	1.37293345559009e-06	0.0103981460226792	0.00669360672188902	4	5
ENSG00000198522	GPN1	-4.82721488608549	-0.0934997041335385	1.38455701925722e-06	0.0962963748700034	3.17513354013545e-17	8	12
ENSG00000141295	SCRN2	-4.82466310036377	-0.040501407229963	1.40240115764634e-06	0.346742930192205	4.13479615117538e-67	29	44
ENSG00000112282	MED23	-4.81325667937978	-0.228239269899892	1.48490368290233e-06	0.0785967827393178	3.23344267806879e-14	5	6
ENSG00000231993	EP300-AS1	4.77493026406026	0.633792019828073	1.79769538255492e-06	0.08	2.51016665745282e-14	5	9
ENSG00000158186	MRAS	4.75798401353297	0.117470451232509	1.95535980163086e-06	0.0601158316851745	3.99515643350658e-11	4	9
ENSG00000236782	AL391650.1	-4.72683013581385	-0.216303645522473	2.28051882955604e-06	0.011868410831621	0.00375349451220863	8	13
ENSG00000204444	APOM	-4.71454580573437	-1.11129074930121	2.42250505499975e-06	0.0835684367203655	4.67400510686098e-15	3	9
ENSG00000204536	CCHCR1	-4.68097954695363	-0.15872078637836	2.85507426012188e-06	0.355330288504705	3.87518210076868e-69	4	49
ENSG00000204482	LST1	4.67818463460233	0.237647229137612	2.89425880795058e-06	0.0336623009212972	9.19724832767481e-07	3	15
ENSG00000246560	UBE2D3-AS1	-4.6658633994953	-0.268479014917409	3.07323824899619e-06	0.026	1.91562321678396e-05	51	60
ENSG00000168056	LTBP3	4.66081386153303	0.121811296349974	3.14961469904951e-06	0.108340631125941	2.66514169014455e-19	21	35
ENSG00000149926	TLCD3B	-4.65	-8.21177101332678	3.31935028863306e-06	0.14118179944207	4.29221691399865e-25	1	10
ENSG00000154124	OTULIN	4.63144562925886	1.44285584405336	3.63121361113272e-06	0.0218128721908512	8.18437390322266e-05	3	6
ENSG00000235513	AL035681.1	4.59915704586105	0.110544088207992	4.24203913906851e-06	0.0312527489433	2.28726191612573e-06	4	9
ENSG00000072310	SREBF1	4.59582001340634	0.633809316530743	4.31050670091082e-06	0.014	0.00180136111484569	6	7
ENSG00000169592	INO80E	-4.5951723059649	-0.0884872669351514	4.32391817906108e-06	0.033676794989323	9.14698826430363e-07	3	11
ENSG00000229666	MAST4-AS1	-4.58778534841394	-0.113250853317885	4.4797288940579e-06	0.366045439019506	1.0462490566879e-71	7	20
ENSG00000255495	AC145124.1	4.55758864950776	0.218620945125736	5.17442528202849e-06	0.147529677176994	3.08444935041151e-26	13	30
ENSG00000181322	NME9	-4.54686882381944	-0.504159252501498	5.44499107557606e-06	0.0355138577227102	4.56714264752218e-07	4	6
ENSG00000108395	TRIM37	4.54582021831844	0.0645054696489398	5.47217313129345e-06	0.211568296028281	2.97829150236256e-38	11	16
ENSG00000277170	AC012676.3	-4.53770773588757	-0.473263068841944	5.68690001911953e-06	0.0102886691203234	0.00698984162723177	8	30
ENSG00000104643	MTMR9	4.52887637958138	0.137181949369547	5.92981776770252e-06	0.11675807897989	9.11729270251011e-21	13	16
ENSG00000254533	AF186192.1	-4.52674012116993	-0.623144675751453	5.99005285506493e-06	0.047978788008232	4.07039517730604e-09	4	18
ENSG00000152359	POC5	-4.5164033204478	-0.120702251428333	6.28988139328435e-06	0.046	8.24870533125924e-09	17	18
ENSG00000248896	AC105001.1	-4.47454839604315	-0.878035981905957	7.65729819840466e-06	0.0104014541776548	0.00668485695763942	3	5
ENSG00000196616	ADH1B	-4.4667112915531	-0.147872982342767	7.9431208832581e-06	0.0605969991672846	3.32349106717649e-11	12	19
ENSG00000139697	SBNO1	4.46464646464646	0.85241539248073	8.02010699585409e-06	0.0156607178665786	0.000861180790589575	1	3
ENSG00000130856	ZNF236	-4.42922725865643	-0.0959609837986349	9.45713281375049e-06	0.0321797560435164	1.61096659562721e-06	10	13
ENSG00000235070	AC062015.1	-4.42160586796193	-0.0821376828566769	9.79700416348095e-06	0.11737533753993	7.11008374361933e-21	7	12
ENSG00000175985	PLEKHD1	4.41317915503574	0.264733877396456	1.01863634178745e-05	0.018	0.000408326696557218	75	91
ENSG00000138757	G3BP2	-4.40463035886424	-0.101155086156072	1.05964405410219e-05	0.0634479599672768	1.11525684162608e-11	3	5
ENSG00000147874	HAUS6	-4.40217886538874	-0.348044625904123	1.07169146832398e-05	0.032	2.04596245177655e-06	9	9
ENSG00000160799	CCDC12	4.38831398654747	1.54667405182414	1.14232776993184e-05	0.031	3.17411016942487e-06	3	3
ENSG00000243410	PSMD6-AS1	-4.3665490541535	-0.264080413439699	1.26224949861253e-05	0.0133434463081267	0.00211112798772618	7	9
ENSG00000086619	ERO1B	4.3597263284127	0.0747042209988206	1.30225203653911e-05	0.308	3.88561890751308e-58	39	60
