gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000153814	JAZF1	-13.0402631342947	-0.486929268038927	0	0.0700941066781234	5.79687648242783e-09	5	8
ENSG00000261379	AC010735.1	-11.8127484135491	-0.499836687515793	0	0.0241492662112239	0.000732891781905917	3	5
ENSG00000109501	WFS1	10.9231826763256	0.33520870858866	0	0.065559165476053	1.86318390739107e-08	7	12
ENSG00000169047	IRS1	-10.8359087107418	-0.666855204911593	0	0.0806573380947218	3.76462404157901e-10	6	7
ENSG00000272622	AC010735.2	-9.41468039176176	-0.792348453767748	0	0.0432203615450291	5.62695481163307e-06	4	7
ENSG00000234936	AC010883.1	-9.04394221593636	-0.210298625175789	0	0.0887159423220547	4.60428582859786e-11	14	20
ENSG00000273454	AC112503.2	8.59948772546127	0.596841069160687	0	0.0120151641414483	0.0175649372258303	7	8
ENSG00000187486	KCNJ11	7.88808069805705	0.449390922709836	3.10862446895044e-15	0.011	0.0216764123388626	44	53
ENSG00000119912	IDE	-7.84615384615385	-47.3985385639923	4.21884749357559e-15	0.0106368668310585	0.0255135868883454	1	4
ENSG00000231852	CYP21A2	7.74503623459225	0.178772199896406	9.54791801177635e-15	0.11542173874125	3.90835072837052e-14	9	22
ENSG00000279873	LINC01126	-7.58338980368554	-0.195800423442226	3.37507799486048e-14	0.0867954974053935	7.60655449532608e-11	20	31
ENSG00000260196	AC124798.1	-7.50494145062436	-0.172118564409483	6.15063555642337e-14	0.0219131465952673	0.00130447966531453	4	9
ENSG00000188211	NCR3LG1	-7.19453153372977	-0.163874616370186	6.26831919703363e-13	0.0503226968986548	9.20829503532573e-07	8	12
ENSG00000029534	ANK1	7.09789993403192	0.234543362407504	1.2667644710973e-12	0.03961746021887	1.40842446114921e-05	12	24
ENSG00000011523	CEP68	6.97553243262483	0.156141079167242	3.0471181133862e-12	0.274809557965078	1.8225589707909e-34	8	14
ENSG00000152518	ZFP36L2	6.91584641158345	0.275302449271825	4.65072425015478e-12	0.0324342412408139	8.78469183509856e-05	16	23
ENSG00000234336	JAZF1-AS1	-6.85545725009844	-0.158165633006867	7.10853598206995e-12	0.0480568677025632	1.64102215887712e-06	2	2
ENSG00000183682	BMP8A	6.64783453933316	0.219229416641991	2.97435409635227e-11	0.0575682616803361	1.44638812436137e-07	7	19
ENSG00000074755	ZZEF1	6.53091105349174	0.231642635947445	6.53708198683489e-11	0.0525733484545812	5.18480223936037e-07	8	17
ENSG00000274895	AC011700.1	6.5	0.343147901053336	8.03199728949267e-11	0.0364886599277491	3.12481097139354e-05	1	2
ENSG00000179195	ZNF664	-6.43526374338159	-0.123440406621628	1.23259180639934e-10	0.0829009613541128	2.10018849468369e-10	12	20
ENSG00000266265	KLF14	-6.41616510664319	-0.353169444660825	1.39749989358506e-10	0.0343589261749936	5.37699236730777e-05	5	5
ENSG00000157823	AP3S2	6.37905525146346	0.0493327564227822	1.7818369002498e-10	0.590149211968963	1.69451651112707e-92	5	6
ENSG00000228536	LYPLAL1-AS1	-6.21535230091472	-0.246600334203758	5.12096143268082e-10	0.0295025130026432	0.000185743912888497	9	13
ENSG00000109332	UBE2D3	6.2124943308791	0.343457267163943	5.21500620465076e-10	0.0280831962747054	0.000267063674246647	4	8
ENSG00000095485	CWF19L1	-6.04669965666208	-0.0535834799810805	1.47842982300972e-09	0.386386147864047	1.76034864772536e-51	9	13
ENSG00000175445	LPL	-5.93743187240636	-0.251716834802177	2.89521295826489e-09	0.0329686438901089	7.66503336563074e-05	7	7
ENSG00000115221	ITGB6	-5.92752028160214	-0.0987232897022641	3.07543368549545e-09	0.349563910890401	1.50265946778695e-45	10	14
ENSG00000204420	MPIG6B	5.91982907571143	2.07334024103948	3.22276383357689e-09	0.0121536143461192	0.0169223832601017	2	14
ENSG00000159210	SNF8	5.85037807440702	0.150600194605823	4.90456875112955e-09	0.0387536571456278	1.75496452743229e-05	11	14
ENSG00000119242	CCDC92	-5.8425144301087	-0.0732309709855797	5.14187314948344e-09	0.294894038740662	2.4970580826065e-37	18	22
ENSG00000234072	AC074117.1	-5.80892534058237	-0.281202367780772	6.28751184450493e-09	0.0773165005299161	8.95994946424318e-10	3	6
ENSG00000203760	CENPW	-5.79542591433137	-0.569374519613697	6.8148007237312e-09	0.0109649789890623	0.0233346191244721	3	4
ENSG00000246560	UBE2D3-AS1	-5.77073274887588	-0.222489634993849	7.89275667045786e-09	0.0321023860327704	9.56103875004851e-05	6	6
ENSG00000105726	ATP13A1	5.7661892543495	0.114885022997334	8.10840039555671e-09	0.064212574688684	2.63350135272261e-08	15	26
ENSG00000168631	MUCL3	-5.75497613436511	-0.466803497891575	8.66540350585865e-09	0.023740697214997	0.000814169827425701	2	21
